stamp,declared_points,tag_line_gate_points,approx_filtered_points_over_4m
1658138369.4248266,72000,71999,23999
1658138369.524923,72000,71998,2359
1658138369.624761,72000,71999,23998
1658138369.7248578,72000,71999,23998
1658138369.8248193,72000,71999,23999
1658138369.9249094,72000,71999,23999
1658138370.024729,72000,71999,23998
1658138370.1248114,72000,71999,23998
1658138370.2247922,72000,71999,23998
1658138370.3248765,72000,71999,23999
1658138370.4247224,72000,71999,23999
1658138370.5248191,72000,71999,23998
1658138370.6249013,72000,71999,23999
1658138370.7247376,72000,71999,23999
1658138370.8248198,72000,71999,23995
1658138370.924928,72000,71999,23955
1658138371.0247674,72000,71999,23980
1658138371.1248622,72000,71999,23540
1658138371.224719,72000,71999,18452
1658138371.3248057,72000,71999,15171
1658138371.4249055,72000,71999,12506
1658138371.5247593,72000,71999,9917
1658138371.6248376,72000,71999,7831
1658138371.7248142,72000,71999,5808
1658138371.824896,72000,71999,3170
1658138371.9247339,72000,71999,630
1658138372.024832,72000,71999,3
1658138372.1249201,72000,71999,0
1658138372.2244875,72000,71999,0
1658138372.324829,72000,71999,0
1658138372.4249177,72000,71999,0
1658138372.6248593,72000,71999,0
1658138372.7247055,72000,71999,0
1658138372.9247518,72000,71999,0
1658138373.0248432,72000,71999,0
1658138373.2248824,72000,71999,0
1658138373.4248137,72000,71999,0
1658138373.524924,72000,71999,0
1658138373.7248485,72000,71999,0
1658138373.824803,72000,71999,0
1658138374.0247254,72000,71999,0
1658138374.2248385,72000,71999,0
1658138374.3249335,72000,71999,0
1658138374.5248897,72000,71999,0
1658138374.624713,72000,71999,0
1658138374.824899,72000,71999,0
1658138375.0248232,72000,71999,0
1658138375.1249094,72000,71999,0
1658138375.3248503,72000,71999,0
1658138375.42483,72000,71999,0
1658138375.6247559,72000,71999,0
1658138375.8248057,72000,71999,0
1658138375.924906,72000,71999,0
1658138376.1248255,72000,71999,0
1658138376.224684,72000,71999,0
1658138376.424742,72000,71999,0
1658138376.624923,72000,71999,0
1658138376.7247536,72000,71999,0
1658138376.9249265,72000,71999,0
1658138377.1248534,72000,71999,0
1658138377.224762,72000,71999,0
1658138377.424827,72000,71999,0
1658138377.5249295,72000,71999,0
1658138377.7248602,72000,71999,0
1658138377.9249012,72000,71999,0
1658138378.0247355,72000,71999,0
1658138378.224907,72000,71999,0
1658138378.3247533,72000,71999,0
1658138378.5248086,72000,71999,0
1658138378.7247295,72000,71999,0
1658138378.8248239,72000,71999,0
1658138379.0247471,72000,71999,0
1658138379.124831,72000,71999,0
1658138379.324847,72000,71999,0
1658138379.5249152,72000,71999,0
1658138379.6247475,72000,71999,0
1658138379.8249087,72000,71999,0
1658138379.9247463,72000,71999,0
1658138380.0248241,72000,71999,0
1658138380.1249065,72000,71999,0
1658138380.2247386,72000,71999,0
1658138380.3248246,72000,71999,0
1658138380.4249089,72000,71999,0
1658138380.524748,72000,71999,0
1658138380.6248407,72000,71999,0
1658138380.7248101,72000,71999,0
1658138380.8248909,72000,71999,0
1658138380.9247446,72000,71999,0
1658138381.0248249,72000,71999,0
1658138381.124905,72000,71999,0
1658138381.2245357,72000,71999,0
1658138381.3248856,72000,71999,0
1658138381.4247384,72000,71999,0
1658138381.5248268,72000,71999,0
1658138381.624899,72000,71999,0
1658138381.7247367,72000,71999,0
