timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T11:53:31.9093013Z","performance_01","dc3ae6023b26","175.26%","192.1MiB","7.612GiB","2.46%","4.14MB / 2.4MB","71.2GB / 34.7GB","62"
"2026-07-31T11:53:33.9720463Z","performance_01","dc3ae6023b26","24.25%","285.8MiB","7.612GiB","3.67%","4.15MB / 2.41MB","71.2GB / 34.7GB","48"
"2026-07-31T11:53:36.0056609Z","performance_01","dc3ae6023b26","160.93%","320.6MiB","7.612GiB","4.11%","4.15MB / 2.41MB","71.2GB / 34.7GB","78"
"2026-07-31T11:53:38.0362380Z","performance_01","dc3ae6023b26","158.71%","319.5MiB","7.612GiB","4.10%","4.16MB / 2.42MB","71.2GB / 34.7GB","77"
"2026-07-31T11:53:40.0692233Z","performance_01","dc3ae6023b26","159.31%","345.3MiB","7.612GiB","4.43%","4.17MB / 2.42MB","71.2GB / 34.7GB","94"
"2026-07-31T11:53:43.0748771Z","performance_01","dc3ae6023b26","11.03%","357.1MiB","7.612GiB","4.58%","4.17MB / 2.42MB","71.2GB / 34.7GB","94"
"2026-07-31T11:53:45.1075601Z","performance_01","dc3ae6023b26","9.21%","428MiB","7.612GiB","5.49%","4.17MB / 2.43MB","71.2GB / 34.7GB","105"
"2026-07-31T11:53:47.1365576Z","performance_01","dc3ae6023b26","9.74%","427.6MiB","7.612GiB","5.49%","4.17MB / 2.43MB","71.2GB / 34.7GB","105"
"2026-07-31T11:53:49.1681892Z","performance_01","dc3ae6023b26","83.00%","604.4MiB","7.612GiB","7.75%","4.17MB / 2.43MB","71.2GB / 34.7GB","106"
"2026-07-31T11:53:51.2008649Z","performance_01","dc3ae6023b26","110.38%","663.8MiB","7.612GiB","8.52%","4.17MB / 2.43MB","71.2GB / 34.7GB","106"
"2026-07-31T11:53:54.2054984Z","performance_01","dc3ae6023b26","110.33%","677MiB","7.612GiB","8.68%","4.18MB / 2.44MB","71.2GB / 34.7GB","106"
"2026-07-31T11:53:56.2373881Z","performance_01","dc3ae6023b26","111.26%","730.7MiB","7.612GiB","9.37%","4.18MB / 2.44MB","71.2GB / 34.7GB","106"
"2026-07-31T11:53:58.2681335Z","performance_01","dc3ae6023b26","111.36%","756.8MiB","7.612GiB","9.71%","4.18MB / 2.44MB","71.2GB / 34.7GB","106"
"2026-07-31T11:54:00.2980370Z","performance_01","dc3ae6023b26","132.52%","839.8MiB","7.612GiB","10.77%","4.18MB / 2.44MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:03.3046957Z","performance_01","dc3ae6023b26","134.21%","880.6MiB","7.612GiB","11.30%","4.18MB / 2.44MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:05.3336706Z","performance_01","dc3ae6023b26","137.41%","942.4MiB","7.612GiB","12.09%","4.18MB / 2.44MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:07.3642528Z","performance_01","dc3ae6023b26","139.42%","968.6MiB","7.612GiB","12.43%","4.18MB / 2.44MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:09.3949949Z","performance_01","dc3ae6023b26","137.08%","1GiB","7.612GiB","13.14%","4.18MB / 2.44MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:11.4247345Z","performance_01","dc3ae6023b26","137.66%","1.076GiB","7.612GiB","14.14%","4.19MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:14.4295685Z","performance_01","dc3ae6023b26","137.47%","1.115GiB","7.612GiB","14.64%","4.19MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:16.4616522Z","performance_01","dc3ae6023b26","139.76%","1.154GiB","7.612GiB","15.15%","4.19MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:18.4933532Z","performance_01","dc3ae6023b26","143.74%","1.184GiB","7.612GiB","15.55%","4.19MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:20.5227366Z","performance_01","dc3ae6023b26","145.93%","1.257GiB","7.612GiB","16.52%","4.19MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:23.5273519Z","performance_01","dc3ae6023b26","147.42%","1.323GiB","7.612GiB","17.38%","4.19MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:25.5578656Z","performance_01","dc3ae6023b26","146.87%","1.361GiB","7.612GiB","17.88%","4.19MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:27.5881145Z","performance_01","dc3ae6023b26","145.29%","1.4GiB","7.612GiB","18.40%","4.19MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:29.6190012Z","performance_01","dc3ae6023b26","146.68%","1.45GiB","7.612GiB","19.05%","4.2MB / 2.45MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:31.6489383Z","performance_01","dc3ae6023b26","146.71%","1.518GiB","7.612GiB","19.94%","4.2MB / 2.46MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:34.6535109Z","performance_01","dc3ae6023b26","148.54%","1.553GiB","7.612GiB","20.40%","4.2MB / 2.46MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:36.6835318Z","performance_01","dc3ae6023b26","147.94%","1.605GiB","7.612GiB","21.08%","4.2MB / 2.46MB","71.2GB / 34.7GB","108"
"2026-07-31T11:54:38.7150632Z","performance_01","dc3ae6023b26","151.20%","1.643GiB","7.612GiB","21.59%","4.2MB / 2.46MB","71.2GB / 34.7GB","108"
