libeigen3-dev	3.4.0-2ubuntu2
libhdf5-openmpi-103-1:amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-cpp-103-1:amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-dev	1.10.7+repack-4ubuntu2
libhdf5-openmpi-fortran-102:amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-100:amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-cpp-100:amd64	1.10.7+repack-4ubuntu2
libhdf5-openmpi-hl-fortran-100:amd64	1.10.7+repack-4ubuntu2
libopenmpi-dev:amd64	4.1.2-2ubuntu1
libopenmpi3:amd64	4.1.2-2ubuntu1
libopenmpt0:amd64	0.6.1-1
libpcl-apps1.12:amd64	1.12.1+dfsg-3build1
libpcl-common1.12:amd64	1.12.1+dfsg-3build1
libpcl-dev	1.12.1+dfsg-3build1
libpcl-features1.12:amd64	1.12.1+dfsg-3build1
libpcl-filters1.12:amd64	1.12.1+dfsg-3build1
libpcl-io1.12:amd64	1.12.1+dfsg-3build1
libpcl-kdtree1.12:amd64	1.12.1+dfsg-3build1
libpcl-keypoints1.12:amd64	1.12.1+dfsg-3build1
libpcl-ml1.12:amd64	1.12.1+dfsg-3build1
libpcl-octree1.12:amd64	1.12.1+dfsg-3build1
libpcl-outofcore1.12:amd64	1.12.1+dfsg-3build1
libpcl-people1.12:amd64	1.12.1+dfsg-3build1
libpcl-recognition1.12:amd64	1.12.1+dfsg-3build1
libpcl-registration1.12:amd64	1.12.1+dfsg-3build1
libpcl-sample-consensus1.12:amd64	1.12.1+dfsg-3build1
libpcl-search1.12:amd64	1.12.1+dfsg-3build1
libpcl-segmentation1.12:amd64	1.12.1+dfsg-3build1
libpcl-stereo1.12:amd64	1.12.1+dfsg-3build1
libpcl-surface1.12:amd64	1.12.1+dfsg-3build1
libpcl-tracking1.12:amd64	1.12.1+dfsg-3build1
libpcl-visualization1.12:amd64	1.12.1+dfsg-3build1
openmpi-bin	4.1.2-2ubuntu1
openmpi-common	4.1.2-2ubuntu1
pcl-tools	1.12.1+dfsg-3build1
ros-humble-action-msgs	1.2.2-1jammy.20260304.211639
ros-humble-action-tutorials-cpp	0.20.9-1jammy.20260325.222303
ros-humble-action-tutorials-interfaces	0.20.9-1jammy.20260325.210758
ros-humble-action-tutorials-py	0.20.9-1jammy.20260325.211234
ros-humble-actionlib-msgs	4.9.1-1jammy.20260304.213006
ros-humble-ament-cmake	1.3.14-1jammy.20260226.035055
ros-humble-ament-cmake-auto	1.3.14-1jammy.20260304.074922
ros-humble-ament-cmake-copyright	0.12.15-1jammy.20260304.195729
ros-humble-ament-cmake-core	1.3.14-1jammy.20260224.185609
ros-humble-ament-cmake-cppcheck	0.12.15-1jammy.20260304.195901
ros-humble-ament-cmake-cpplint	0.12.15-1jammy.20260304.195910
ros-humble-ament-cmake-export-definitions	1.3.14-1jammy.20260226.010509
ros-humble-ament-cmake-export-dependencies	1.3.14-1jammy.20260226.011144
ros-humble-ament-cmake-export-include-directories	1.3.14-1jammy.20260226.010305
ros-humble-ament-cmake-export-interfaces	1.3.14-1jammy.20260226.005715
ros-humble-ament-cmake-export-libraries	1.3.14-1jammy.20260226.004939
ros-humble-ament-cmake-export-link-flags	1.3.14-1jammy.20260226.010357
ros-humble-ament-cmake-export-targets	1.3.14-1jammy.20260226.005705
ros-humble-ament-cmake-flake8	0.12.15-1jammy.20260304.200009
ros-humble-ament-cmake-gen-version-h	1.3.14-1jammy.20260226.034234
ros-humble-ament-cmake-gmock	1.3.14-1jammy.20260226.034220
ros-humble-ament-cmake-gtest	1.3.14-1jammy.20260226.013944
ros-humble-ament-cmake-include-directories	1.3.14-1jammy.20260226.010650
ros-humble-ament-cmake-libraries	1.3.14-1jammy.20260226.010453
ros-humble-ament-cmake-lint-cmake	0.12.15-1jammy.20260304.195414
ros-humble-ament-cmake-pep257	0.12.15-1jammy.20260304.200058
ros-humble-ament-cmake-pytest	1.3.14-1jammy.20260226.014042
ros-humble-ament-cmake-python	1.3.14-1jammy.20260226.005145
ros-humble-ament-cmake-ros	0.10.0-3jammy.20260304.201222
ros-humble-ament-cmake-target-dependencies	1.3.14-1jammy.20260226.013622
ros-humble-ament-cmake-test	1.3.14-1jammy.20260226.013528
ros-humble-ament-cmake-uncrustify	0.12.15-1jammy.20260304.195907
ros-humble-ament-cmake-version	1.3.14-1jammy.20260226.010514
ros-humble-ament-cmake-xmllint	0.12.15-1jammy.20260304.200103
ros-humble-ament-copyright	0.12.15-1jammy.20260226.034848
ros-humble-ament-cppcheck	0.12.15-1jammy.20260226.010724
ros-humble-ament-cpplint	0.12.15-1jammy.20260304.090253
ros-humble-ament-flake8	0.12.15-1jammy.20260226.013519
ros-humble-ament-index-cpp	1.4.1-1jammy.20260304.201844
ros-humble-ament-index-python	1.4.1-1jammy.20260304.090250
ros-humble-ament-lint	0.12.15-1jammy.20260226.005140
ros-humble-ament-lint-auto	0.12.15-1jammy.20260226.014133
ros-humble-ament-lint-cmake	0.12.15-1jammy.20260304.090258
ros-humble-ament-lint-common	0.12.15-1jammy.20260304.201149
ros-humble-ament-package	0.14.2-1jammy.20260213.215617
ros-humble-ament-pep257	0.12.15-1jammy.20260226.014506
ros-humble-ament-uncrustify	0.12.15-1jammy.20260304.195710
ros-humble-ament-xmllint	0.12.15-1jammy.20260304.090301
ros-humble-angles	1.15.0-1jammy.20260304.075013
ros-humble-bond	4.1.4-1jammy.20260414.032536
ros-humble-bondcpp	4.1.4-1jammy.20260421.072335
ros-humble-builtin-interfaces	1.2.2-1jammy.20260304.211338
ros-humble-class-loader	2.2.0-3jammy.20260304.204543
ros-humble-common-interfaces	4.9.1-1jammy.20260304.220553
ros-humble-composition	0.20.9-1jammy.20260325.222349
ros-humble-composition-interfaces	1.2.2-1jammy.20260304.212446
ros-humble-compressed-image-transport	2.5.5-1jammy.20260606.044420
ros-humble-console-bridge-vendor	1.4.1-1jammy.20260304.202710
ros-humble-cv-bridge	3.2.1-1jammy.20260414.141421
ros-humble-demo-nodes-cpp	0.20.9-1jammy.20260325.222333
ros-humble-demo-nodes-cpp-native	0.20.9-1jammy.20260325.222351
ros-humble-demo-nodes-py	0.20.9-1jammy.20260325.210625
ros-humble-depthimage-to-laserscan	2.5.1-1jammy.20260325.230904
ros-humble-desktop	0.10.0-1jammy.20260326.022353
ros-humble-diagnostic-msgs	4.9.1-1jammy.20260304.214714
ros-humble-diagnostic-updater	4.0.6-1jammy.20260422.080729
ros-humble-domain-coordinator	0.10.0-3jammy.20260304.090332
ros-humble-dummy-map-server	0.20.9-1jammy.20260325.221537
ros-humble-dummy-robot-bringup	0.20.9-1jammy.20260326.001333
ros-humble-dummy-sensors	0.20.9-1jammy.20260325.221544
ros-humble-eigen3-cmake-module	0.1.1-4jammy.20260304.195907
ros-humble-example-interfaces	0.9.3-2jammy.20260304.212531
ros-humble-examples-rclcpp-minimal-action-client	0.15.5-1jammy.20260325.220527
ros-humble-examples-rclcpp-minimal-action-server	0.15.5-1jammy.20260325.220530
ros-humble-examples-rclcpp-minimal-client	0.15.5-1jammy.20260325.220533
ros-humble-examples-rclcpp-minimal-composition	0.15.5-1jammy.20260325.230921
ros-humble-examples-rclcpp-minimal-publisher	0.15.5-1jammy.20260325.221544
ros-humble-examples-rclcpp-minimal-service	0.15.5-1jammy.20260325.220736
ros-humble-examples-rclcpp-minimal-subscriber	0.15.5-1jammy.20260325.230934
ros-humble-examples-rclcpp-minimal-timer	0.15.5-1jammy.20260325.221549
ros-humble-examples-rclcpp-multithreaded-executor	0.15.5-1jammy.20260325.221550
ros-humble-examples-rclpy-executors	0.15.5-1jammy.20260310.165154
ros-humble-examples-rclpy-minimal-action-client	0.15.5-1jammy.20260310.165215
ros-humble-examples-rclpy-minimal-action-server	0.15.5-1jammy.20260310.164948
ros-humble-examples-rclpy-minimal-client	0.15.5-1jammy.20260310.165309
ros-humble-examples-rclpy-minimal-publisher	0.15.5-1jammy.20260310.165343
ros-humble-examples-rclpy-minimal-service	0.15.5-1jammy.20260310.165445
ros-humble-examples-rclpy-minimal-subscriber	0.15.5-1jammy.20260310.165432
ros-humble-fastcdr	1.0.29-1jammy.20260226.010952
ros-humble-fastrtps	2.6.11-1jammy.20260304.200925
ros-humble-fastrtps-cmake-module	2.2.4-1jammy.20260304.202011
ros-humble-foonathan-memory-vendor	1.2.0-3jammy.20260304.200554
ros-humble-geometry-msgs	4.9.1-1jammy.20260304.213757
ros-humble-geometry2	0.25.20-2jammy.20260326.002125
ros-humble-gmock-vendor	1.10.9006-1jammy.20260226.011659
ros-humble-gtest-vendor	1.10.9006-1jammy.20260226.011046
ros-humble-ignition-cmake2-vendor	0.0.2-2jammy.20260304.200630
ros-humble-ignition-math6-vendor	0.0.2-2jammy.20260304.200852
ros-humble-image-geometry	3.2.1-1jammy.20260304.220311
ros-humble-image-tools	0.20.9-1jammy.20260325.222339
ros-humble-image-transport	3.1.12-1jammy.20260421.073057
ros-humble-interactive-markers	2.3.2-2jammy.20260325.234719
ros-humble-intra-process-demo	0.20.9-1jammy.20260325.221648
ros-humble-joy	3.3.0-1jammy.20260325.231000
ros-humble-kdl-parser	2.6.4-1jammy.20260304.205337
ros-humble-keyboard-handler	0.0.5-1jammy.20260304.202120
ros-humble-laser-geometry	2.4.1-1jammy.20260325.215111
ros-humble-launch	1.0.14-1jammy.20260304.195519
ros-humble-launch-ros	0.19.13-1jammy.20260310.165408
ros-humble-launch-testing	1.0.14-1jammy.20260304.200104
ros-humble-launch-testing-ament-cmake	1.0.14-1jammy.20260304.202633
ros-humble-launch-testing-ros	0.19.13-1jammy.20260310.171345
ros-humble-launch-xml	1.0.14-1jammy.20260304.195726
ros-humble-launch-yaml	1.0.14-1jammy.20260304.195728
ros-humble-libcurl-vendor	3.1.3-1jammy.20260304.090502
ros-humble-libg2o	2020.5.29-4jammy.20260304.090502
ros-humble-libstatistics-collector	1.3.4-1jammy.20260304.214542
ros-humble-libyaml-vendor	1.2.2-2jammy.20260304.204644
ros-humble-lifecycle	0.20.9-1jammy.20260325.222602
ros-humble-lifecycle-msgs	1.2.2-1jammy.20260304.211354
ros-humble-logging-demo	0.20.9-1jammy.20260325.222344
ros-humble-map-msgs	2.1.0-3jammy.20260304.215721
ros-humble-mcap-vendor	0.15.16-1jammy.20260304.195727
ros-humble-message-filters	4.3.15-1jammy.20260325.222606
