timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137038.624750853,1785482064.182526112,1,62,113,91,0,72000,107,92,0.000000000,0.224944000,0.355472001,0.094595001,0.000475000,0.095070001,1.612755999,0,17
1658137038.724840641,1785482065.183201313,2,113,167,86,0,72000,151,139,0.000000000,0.331190000,0.434640000,0.069427000,0.000714001,0.070141001,2.257611999,0,2
1658137038.824929476,1785482066.183592081,3,167,206,95,0,72000,219,172,0.000000000,0.486224002,0.599937001,0.085559001,0.000543001,0.086102002,2.629838000,0,18
1658137038.924761057,1785482067.184117556,4,206,230,94,0,72000,227,175,0.000000000,0.665909000,0.782653999,0.093816001,0.000463000,0.094279001,2.926772999,0,17
1658137039.024845600,1785482068.182694435,5,230,249,52,0,72000,167,137,0.000000000,0.405760999,0.511812999,0.064229002,0.000466000,0.064695001,1.623403001,0,18
1658137039.124808073,1785482069.184103727,6,249,307,105,0,72000,296,215,0.000000000,0.666616999,0.792847000,0.291106999,0.000556000,0.291662998,2.999330000,0,18
1658137039.224895239,1785482070.184366226,7,307,331,93,0,72000,328,251,0.000000000,0.956654003,1.103350000,0.146107001,0.000612001,0.146719001,3.183128001,0,11
1658137039.324856758,1785482071.182160854,8,331,350,20,0,72000,79,77,0.000000000,0.243888002,0.336513000,0.023809000,0.000588001,0.024397001,0.915750999,0,18
1658137039.424824715,1785482072.183724880,9,350,378,92,0,72000,273,216,0.000000000,0.834050003,0.995146000,0.122867001,0.000566999,0.123434000,2.425047000,0,18
1658137039.524910688,1785482073.182763577,10,378,412,59,0,72000,229,192,0.000000000,0.560555000,0.678344000,0.052576001,0.000530999,0.053107000,1.430457000,0,11
1658137039.624746561,1785482074.184966326,11,412,504,187,0,72000,439,289,0.000000000,1.207645999,1.359313001,0.300514999,0.000533000,0.301048000,3.583350999,0,20
1658137039.724836588,1785482075.185324192,12,504,573,196,0,72000,528,344,0.000000000,1.426733001,1.659403000,0.295022001,0.000555001,0.295577001,3.934588000,0,27
1658137039.824910402,1785482076.184359312,13,573,623,101,0,72000,413,260,0.000000000,1.231305998,1.399477000,0.131139001,0.000786000,0.131925000,2.711657000,0,18
1658137039.924752235,1785482077.183886290,14,623,652,104,0,72000,377,234,0.000000000,1.036223999,1.202506999,0.127546002,0.000492000,0.128038002,2.391673001,0,12
1658137040.024843931,1785482078.183360100,15,652,722,133,0,72000,442,266,0.000000000,1.474791001,1.667196000,0.309135999,0.000546001,0.309682000,2.932993000,0,25
1658137040.124804497,1785482079.183758259,16,722,776,142,0,72000,497,332,0.000000000,1.593473999,1.782699001,0.187142999,0.000804999,0.187947999,3.237170000,0,20
1658137040.224885464,1785482080.182948112,17,776,789,119,0,72000,357,232,0.000000000,1.186488000,1.351707000,0.222458000,0.000622000,0.223080000,2.410483999,0,21
1658137040.324917316,1785482081.184220314,18,789,910,229,0,72000,637,449,0.000000000,1.837683001,2.075877999,0.242638000,0.000594000,0.243232000,3.674247000,0,18
1658137040.424757481,1785482082.184150696,19,910,993,186,0,72000,706,499,0.000000000,1.743838997,1.957176000,0.243766000,0.000773000,0.244539000,3.406957001,0,17
1658137040.524852276,1785482083.184052229,20,993,1072,151,0,72000,584,358,0.000000000,1.886974000,2.107225999,0.270389999,0.000729000,0.271118999,3.395942000,0,22
1658137040.624824524,1785482084.184392929,21,1072,1153,188,0,72000,733,489,0.000000000,1.880517999,2.086254999,0.257157000,0.000492000,0.257649001,3.705335001,0,22
1658137040.724930048,1785482085.183286190,22,1153,1221,124,0,72000,431,292,0.000000000,1.403902001,1.577465999,0.171907001,0.000658001,0.172565002,2.528457000,0,23
1658137040.824769497,1785482086.183292389,23,1221,1297,150,0,72000,531,318,0.000000000,1.442346000,1.652143001,0.175372001,0.000664999,0.176037000,2.525088999,0,17
1658137040.924866199,1785482087.183350325,24,1297,1354,148,0,72000,521,325,0.000000000,1.482025998,1.651172000,0.208670001,0.000517999,0.209188000,2.540017000,0,18
1658137041.024715185,1785482088.185198545,25,1354,1453,246,0,72000,778,504,0.000000000,2.522485998,2.749623000,0.340224000,0.000720000,0.340944000,4.304128001,0,18
1658137041.124927521,1785482089.182666540,26,1453,1494,122,0,72000,328,158,0.000000000,0.972274001,1.098056999,0.222829001,0.000526999,0.223356001,1.742933000,0,8
1658137041.224772692,1785482090.184026718,27,1494,1594,202,0,72000,689,408,0.000000000,1.962919001,2.163129000,0.236598000,0.000502001,0.237100001,3.066352001,0,19
1658137041.324922085,1785482091.184119463,28,1594,1701,237,0,72000,714,428,0.000000000,1.888200000,2.079971999,0.320274999,0.000742999,0.321017998,3.135696999,0,12
1658137041.424759150,1785482092.185634136,29,1701,1827,312,0,72000,971,617,0.000000000,2.639126000,2.896915999,0.427155001,0.000624999,0.427780000,4.565363999,0,14
1658137041.524841309,1785482093.185622215,30,1827,1929,300,0,72000,1089,706,0.000000000,2.781915000,3.060883000,0.457369000,0.000499000,0.457868000,4.541210999,0,18
1658137041.624929428,1785482094.185199499,31,1929,2088,298,0,72000,971,657,0.000000000,2.534261001,2.783155000,0.368687000,0.000849999,0.369537000,3.933501001,0,25
1658137041.724767923,1785482095.182876348,32,2088,2117,76,0,72000,333,135,0.000000000,0.999452001,1.123425000,0.108626999,0.000507000,0.109133998,1.691133000,0,22
1658137041.824869633,1785482096.184807777,33,2117,2136,194,0,72000,727,461,0.000000000,2.185520001,2.386080001,0.408897000,0.000734000,0.409631000,3.561180001,0,10
1658137041.924714327,1785482097.186710596,34,2136,2347,370,0,72000,1334,827,0.000000000,3.498670998,3.813631000,0.486545001,0.000617001,0.487162002,5.429996001,0,15
1658137042.024935007,1785482098.185717106,35,2347,2399,247,0,72000,968,618,0.000000000,2.775294002,3.030021000,0.436072000,0.000491000,0.436562999,4.247315001,0,18
1658137042.124760151,1785482099.184395075,36,2399,2491,135,0,72000,621,370,0.000000000,1.900229998,2.232081000,0.160459000,0.000533000,0.160992000,2.994630000,0,17
1658137042.224861860,1785482100.185318470,37,2491,2559,224,0,72000,817,551,0.000000000,2.370310000,2.610302001,0.615067000,0.000436999,0.615503999,3.865011000,0,18
1658137042.324903250,1785482101.188717604,38,2559,2787,460,0,72000,1698,1170,0.000000000,4.645299001,5.072349000,0.587293998,0.000628001,0.587921999,7.230425001,0,19
1658137042.424739361,1785482102.183331728,39,2787,2812,84,0,72000,371,209,0.000000000,1.063042000,1.187217000,0.124807000,0.000505001,0.125312001,1.696824000,0,19
1658137042.524814606,1785482103.186440468,40,2812,2923,274,0,72000,1142,774,0.000000000,3.390593998,3.693466000,0.403530001,0.000460999,0.403991000,4.901268001,0,18
1658137042.624909639,1785482104.187092066,41,2923,3065,297,0,72000,1382,988,0.000000000,3.785960002,4.193893001,0.413682001,0.000479000,0.414161001,5.486929000,0,12
1658137042.724750757,1785482105.188371658,42,3065,3169,416,0,72000,1597,1099,0.000000000,4.488269002,4.971132001,0.668797000,0.000591999,0.669388999,6.722891001,0,19
1658137042.824854851,1785482106.187820435,43,3169,3369,360,0,72000,1566,1143,0.000000000,4.232262001,4.626720000,0.430864000,0.000495000,0.431359000,6.111362000,0,18
1658137042.924814939,1785482107.186828613,44,3369,3400,243,0,72000,1227,826,0.000000000,3.488866998,3.797800000,0.460559000,0.000462000,0.461021000,5.083896000,0,17
1658137043.024902582,1785482108.187551737,45,3400,3540,403,0,72000,1645,1154,0.000000000,4.840748999,5.248580999,0.637601001,0.000722999,0.638324000,7.283406001,0,21
1658137043.124729633,1785482109.185740948,46,3540,3684,281,0,72000,1288,948,0.000000000,3.675835998,4.020300999,0.369958001,0.000635999,0.370594000,5.469422002,0,18
1658137043.224834442,1785482110.189180851,47,3684,3921,503,0,72000,2188,1544,0.000000000,6.320406999,6.890750001,0.607869000,0.000477999,0.608347000,8.900441999,0,19
1658137043.324897289,1785482111.186043501,48,3921,3856,253,0,72000,1315,900,0.000000000,3.763306999,4.225301000,0.679831001,0.000622998,0.680453999,5.704959000,0,18
1658137043.424738884,1785482112.186628580,49,3856,4070,346,0,72000,1623,1047,0.000000000,4.473621999,4.842401000,0.404265000,0.000504000,0.404769000,6.136873999,0,18
1658137043.524831533,1785482113.187613010,50,4070,4216,375,0,72000,1761,1228,0.000000000,5.277920000,5.711653999,0.539372000,0.000527001,0.539899002,7.194950000,0,19
1658137043.624813080,1785482114.186410189,51,4216,4354,303,0,72000,1399,904,0.000000000,4.366749001,4.711581001,0.411920999,0.000530001,0.412451000,5.944840001,0,20
1658137043.724911451,1785482115.189872980,52,4354,4514,436,0,72000,2283,1583,0.000000000,6.711447000,7.316105000,0.663987001,0.000510001,0.664497002,9.338742999,0,18
1658137043.824754000,1785482116.188471079,53,4514,4637,438,0,72000,2006,1369,0.000000000,5.668902002,6.137614000,0.686874000,0.000590999,0.687464999,7.921979000,0,18
1658137043.924834490,1785482117.188537836,54,4637,4895,372,0,72000,1862,1187,0.000000000,5.551972001,5.961069000,0.431207001,0.000685000,0.431892002,7.735615000,0,18
1658137044.024915218,1785482118.189316511,55,4895,5111,478,0,72000,2224,1415,0.000000000,6.345391999,6.875813000,0.678485001,0.000512000,0.678997001,8.664818000,0,21
1658137044.124754429,1785482119.287249327,56,5111,5249,266,0,72000,1650,1176,0.000000000,4.862781998,5.278729001,0.392824000,0.000509999,0.393333999,6.519810000,0,18
1658137044.224855900,1785482120.187319517,57,5249,5245,246,0,72000,1625,1030,0.000000000,4.898756002,5.266950000,0.438859999,0.000624001,0.439484000,6.577369999,0,17
1658137044.324722767,1785482121.189491987,58,5245,5456,372,0,72000,2100,1314,0.000000000,6.489291003,7.147339000,0.446570000,0.000619000,0.447189001,8.726859000,0,19
1658137044.424809933,1785482122.288774252,59,5456,5605,295,0,72000,1991,1398,0.000000000,5.873856000,6.353889999,0.417550000,0.000624999,0.418174999,7.831598001,0,18
1658137044.524908304,1785482123.187074423,60,5605,5509,188,0,72000,1407,1012,0.000000000,4.375070997,4.732982001,0.503474999,0.000639999,0.504114998,6.200661999,0,26
1658137044.624745369,1785482124.189044952,61,5509,5508,267,0,72000,2135,1448,0.000000000,6.065810001,6.567637000,0.429952999,0.000479000,0.430431999,8.146188000,0,15
1658137044.724828005,1785482125.185000181,62,5508,5549,136,0,72000,906,601,0.000000000,2.859809001,3.110858001,0.185678999,0.000530001,0.186208999,3.903060999,0,17
1658137044.824914217,1785482126.190194130,63,5549,5527,261,0,72000,2088,1378,0.000000000,6.722250002,7.228297000,0.543162001,0.000671000,0.543833001,9.174593999,0,18
