timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137038.624750853,1785503053.864750862,1,72,117,89,0,72000,108,104,0.000000000,0.357099001,0.460582000,0.086855000,0.000565000,0.087420000,1.598729999,0,17
1658137038.724840641,1785503053.990303993,2,117,168,88,0,72000,145,129,0.000000000,0.285051003,0.390607001,0.082775001,0.000640001,0.083415001,2.155507000,0,23
1658137038.824929476,1785503054.090645075,3,168,210,106,0,72000,217,176,0.000000000,0.230776999,0.341564000,0.100546000,0.000369000,0.100915000,2.471153999,0,16
1658137038.924761057,1785503054.165726662,4,210,223,77,0,72000,213,159,0.000000000,0.222781999,0.334443001,0.083645000,0.000550999,0.084195999,2.418044001,0,15
1658137039.024845600,1785503054.289556980,5,223,258,72,0,72000,174,140,0.000000000,0.259889001,0.363142999,0.066807001,0.000524000,0.067331001,1.382048000,0,11
1658137039.124808073,1785503054.365913153,6,258,292,110,0,72000,293,217,0.000000000,0.300817001,0.438567000,0.163172999,0.000467000,0.163639999,2.431677000,0,7
1658137039.224895239,1785503054.465672493,7,292,348,101,0,72000,318,222,0.000000000,0.436645001,0.567759000,0.104807999,0.000485999,0.105293999,2.532238001,0,10
1658137039.324856758,1785503054.563749552,8,348,357,18,0,72000,81,77,0.000000000,0.103132999,0.171128000,0.024917999,0.000528002,0.025446001,0.599145000,0,18
1658137039.424824715,1785503054.664604664,9,357,403,82,0,72000,275,212,0.000000000,0.292944998,0.417572999,0.071050001,0.000393000,0.071443001,1.453998999,0,14
1658137039.524910688,1785503054.764256477,10,403,414,62,0,72000,238,169,0.000000000,0.261772002,0.372024000,0.076354001,0.000442000,0.076796001,1.109240000,0,11
1658137039.624746561,1785503054.866063118,11,414,475,187,0,72000,438,322,0.000000000,0.529925001,0.682730000,0.444775002,0.000475000,0.445250002,2.917604001,0,20
1658137039.724836588,1785503054.966158867,12,475,568,189,0,72000,529,361,0.000000000,0.481920997,0.653010000,0.194577999,0.000450000,0.195027998,2.725130000,0,27
1658137039.824910402,1785503055.064897299,13,568,607,104,0,72000,411,280,0.000000000,0.380930998,0.520390999,0.117678001,0.000451999,0.118129999,1.555226001,0,14
1658137039.924752235,1785503055.164675236,14,607,645,109,0,72000,373,235,0.000000000,0.358400002,0.484904000,0.150052001,0.000505999,0.150558000,1.498850001,0,11
1658137040.024843931,1785503055.264717102,15,645,705,142,0,72000,449,300,0.000000000,0.422690000,0.576368000,0.152101000,0.000562999,0.152663999,1.507334000,0,18
1658137040.124804497,1785503055.364872217,16,705,739,133,0,72000,500,339,0.000000000,0.456642998,0.610761001,0.222596000,0.000507998,0.223103998,1.690775001,0,20
1658137040.224885464,1785503055.464535952,17,739,790,128,0,72000,357,248,0.000000000,0.368270001,0.500498001,0.234511001,0.000479000,0.234990001,1.332484000,0,13
1658137040.324917316,1785503055.565483093,18,790,918,192,0,72000,635,462,0.000000000,0.752062002,0.972652000,0.210947001,0.000587999,0.211535000,2.295926999,0,13
1658137040.424757481,1785503055.665548801,19,918,1033,207,0,72000,710,534,0.000000000,0.725576001,0.949183999,0.230443000,0.000473001,0.230916001,2.336871999,0,15
1658137040.524852276,1785503055.790278435,20,1033,1063,169,0,72000,582,381,0.000000000,0.575047001,0.745818001,0.398076001,0.000463000,0.398539001,2.017199000,0,15
1658137040.624824524,1785503055.865519762,21,1063,1139,183,0,72000,740,511,0.000000000,0.723575000,0.936247001,0.221098999,0.000697000,0.221795999,2.285340001,0,20
1658137040.724930048,1785503055.964524031,22,1139,1191,104,0,72000,428,299,0.000000000,0.454895000,0.604193001,0.106232001,0.000472000,0.106704001,1.324217001,0,18
1658137040.824769497,1785503056.064790010,23,1191,1268,139,0,72000,530,335,0.000000000,0.547568998,0.763045000,0.162054001,0.000583001,0.162637001,1.541337000,0,17
1658137040.924866199,1785503056.164797068,24,1268,1317,151,0,72000,523,331,0.000000000,0.546472002,0.700688001,0.247636000,0.000387001,0.248023001,1.549855000,0,18
1658137041.024715185,1785503056.266608715,25,1317,1446,220,0,72000,781,532,0.000000000,0.998596999,1.234396999,0.316526000,0.000484000,0.317010001,2.522006000,0,12
1658137041.124927521,1785503056.364406347,26,1446,1419,107,0,72000,330,192,0.000000000,0.368162000,0.482685000,0.264801001,0.000554999,0.265356000,1.160060001,0,8
1658137041.224772692,1785503056.490109921,27,1419,1557,218,0,72000,686,426,0.000000000,0.694733002,0.875063000,0.302508000,0.000559001,0.303067001,1.855438000,0,19
1658137041.324922085,1785503056.565351725,28,1557,1712,245,0,72000,716,426,0.000000000,0.732917002,0.915310000,0.470571000,0.000522001,0.471093001,2.091521001,0,12
1658137041.424759150,1785503056.665937901,29,1712,1822,287,0,72000,968,650,0.000000000,1.076962002,1.329720999,0.406130999,0.000492999,0.406623998,2.697401002,0,12
1658137041.524841309,1785503056.766158342,30,1822,1888,336,0,72000,1084,730,0.000000000,1.109625999,1.391070000,0.557302999,0.000475000,0.557777999,2.922025000,0,15
