timestamp_utc,timestamp_monotonic,elapsed_sec,pid,cpu_percent_raw,cpu_percent_normalized,rss_mb,vms_mb,shared_mb,num_threads,read_bytes_delta,write_bytes_delta,process_status
2026-07-31T13:27:58.909236+00:00,16498.500786677,0.000230,11538,0.000,0.000,142.969,879.426,42.031,13,0,0,S (sleeping)
2026-07-31T13:27:59.409988+00:00,16499.001494239,0.500938,11538,5.992,0.300,143.125,880.004,42.188,13,0,0,S (sleeping)
2026-07-31T13:27:59.910785+00:00,16499.502284329,1.001728,11538,3.994,0.200,143.125,880.004,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:00.411676+00:00,16500.003121075,1.502565,11538,3.993,0.200,143.125,879.477,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:00.912614+00:00,16500.504065439,2.003509,11538,5.989,0.299,143.125,879.477,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:01.413403+00:00,16501.004915347,2.504359,11538,3.993,0.200,143.125,879.477,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:01.914203+00:00,16501.505741103,3.005185,11538,1.997,0.100,143.125,879.477,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:02.415115+00:00,16502.006573875,3.506018,11538,5.990,0.300,143.125,878.949,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:02.915934+00:00,16502.507426384,4.006870,11538,5.990,0.299,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:03.415774+00:00,16503.008206528,4.507650,11538,3.994,0.200,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:03.916564+00:00,16503.508988761,5.008432,11538,5.991,0.300,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:04.417386+00:00,16504.009803665,5.509247,11538,5.990,0.300,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:04.918224+00:00,16504.510633893,6.010078,11538,5.990,0.300,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:05.419067+00:00,16505.011471884,6.510916,11538,3.993,0.200,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:05.919810+00:00,16505.512272486,7.011716,11538,5.990,0.300,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:06.420592+00:00,16506.013014384,7.512458,11538,5.991,0.300,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:06.921353+00:00,16506.513808136,8.013252,11538,3.994,0.200,143.125,879.527,42.188,13,0,0,S (sleeping)
2026-07-31T13:28:07.422130+00:00,16507.014584276,8.514028,11538,5.991,0.300,148.594,910.605,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:07.922869+00:00,16507.515328312,9.014772,11538,7.988,0.399,148.625,910.637,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:08.423604+00:00,16508.016066398,9.515510,11538,5.991,0.300,148.629,910.641,42.656,13,0,4096,S (sleeping)
2026-07-31T13:28:08.924341+00:00,16508.516805841,10.016250,11538,5.991,0.300,148.629,910.641,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:09.425077+00:00,16509.017537876,10.516982,11538,7.988,0.399,148.629,910.641,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:09.925800+00:00,16509.518266562,11.017710,11538,5.991,0.300,148.633,910.645,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:10.426526+00:00,16510.018992493,11.518436,11538,5.991,0.300,148.629,910.641,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:10.926918+00:00,16510.519374730,12.018818,11538,5.995,0.300,148.637,910.648,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:11.427665+00:00,16511.020121787,12.519565,11538,7.988,0.399,148.633,910.645,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:11.928428+00:00,16511.520882210,13.020326,11538,5.991,0.300,148.641,910.652,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:12.429213+00:00,16512.021677806,13.521121,11538,5.990,0.300,148.637,910.648,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:12.929966+00:00,16512.522420790,14.021864,11538,7.988,0.399,148.641,910.652,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:13.430776+00:00,16513.023205983,14.522650,11538,5.991,0.300,148.641,910.652,42.656,13,0,4096,S (sleeping)
2026-07-31T13:28:13.931659+00:00,16513.524085674,15.023529,11538,7.986,0.399,148.641,910.652,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:14.432404+00:00,16514.024851385,15.524295,11538,5.991,0.300,148.641,910.652,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:14.933171+00:00,16514.525621994,16.025066,11538,7.988,0.399,148.645,910.656,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:15.433941+00:00,16515.026392598,16.525836,11538,3.994,0.200,148.645,910.656,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:15.934676+00:00,16515.527138847,17.026583,11538,7.988,0.399,148.648,910.660,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:16.435410+00:00,16516.027871047,17.527315,11538,7.988,0.399,148.648,910.660,42.656,13,0,0,S (sleeping)
2026-07-31T13:28:16.936149+00:00,16516.528614276,18.028058,11538,5.991,0.300,149.434,912.031,42.656,13,0,0,R (running)
2026-07-31T13:28:17.436872+00:00,16517.029336810,18.528780,11538,5.991,0.300,148.703,910.660,42.656,13,0,0,S (sleeping)
