timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T12:40:22.0266606Z","performance_03","dc3ae6023b26","181.35%","2.651GiB","7.612GiB","34.82%","5.67MB / 3.93MB","132GB / 34.7GB","62"
"2026-07-31T12:40:24.0902752Z","performance_03","dc3ae6023b26","27.76%","2.738GiB","7.612GiB","35.97%","5.67MB / 3.93MB","132GB / 34.7GB","48"
"2026-07-31T12:40:26.1246438Z","performance_03","dc3ae6023b26","161.76%","2.773GiB","7.612GiB","36.42%","5.68MB / 3.94MB","132GB / 34.7GB","78"
"2026-07-31T12:40:28.1561520Z","performance_03","dc3ae6023b26","162.17%","2.771GiB","7.612GiB","36.40%","5.68MB / 3.94MB","132GB / 34.7GB","77"
"2026-07-31T12:40:30.1882905Z","performance_03","dc3ae6023b26","4.90%","2.795GiB","7.612GiB","36.72%","5.69MB / 3.95MB","132GB / 34.7GB","94"
"2026-07-31T12:40:33.1940133Z","performance_03","dc3ae6023b26","22.04%","2.876GiB","7.612GiB","37.78%","5.7MB / 3.96MB","132GB / 34.7GB","105"
"2026-07-31T12:40:35.2239583Z","performance_03","dc3ae6023b26","12.43%","2.876GiB","7.612GiB","37.78%","5.7MB / 3.96MB","132GB / 34.7GB","105"
"2026-07-31T12:40:37.2556311Z","performance_03","dc3ae6023b26","12.09%","2.876GiB","7.612GiB","37.78%","5.7MB / 3.96MB","132GB / 34.7GB","105"
"2026-07-31T12:40:39.2880086Z","performance_03","dc3ae6023b26","104.06%","2.967GiB","7.612GiB","38.98%","5.7MB / 3.96MB","132GB / 34.7GB","106"
"2026-07-31T12:40:41.3180223Z","performance_03","dc3ae6023b26","111.32%","2.989GiB","7.612GiB","39.26%","5.7MB / 3.96MB","132GB / 34.7GB","106"
"2026-07-31T12:40:44.3246805Z","performance_03","dc3ae6023b26","110.83%","2.965GiB","7.612GiB","38.94%","5.7MB / 3.96MB","132GB / 34.7GB","106"
"2026-07-31T12:40:46.3560884Z","performance_03","dc3ae6023b26","113.53%","2.974GiB","7.612GiB","39.07%","5.71MB / 3.97MB","132GB / 34.7GB","106"
"2026-07-31T12:40:48.3857861Z","performance_03","dc3ae6023b26","111.80%","2.974GiB","7.612GiB","39.07%","5.71MB / 3.97MB","132GB / 34.7GB","106"
"2026-07-31T12:40:50.4156756Z","performance_03","dc3ae6023b26","132.38%","2.996GiB","7.612GiB","39.35%","5.71MB / 3.97MB","132GB / 34.7GB","108"
"2026-07-31T12:40:53.4206369Z","performance_03","dc3ae6023b26","135.43%","2.989GiB","7.612GiB","39.26%","5.71MB / 3.97MB","132GB / 34.7GB","108"
"2026-07-31T12:40:55.4496049Z","performance_03","dc3ae6023b26","139.35%","2.996GiB","7.612GiB","39.36%","5.71MB / 3.97MB","132GB / 34.7GB","108"
"2026-07-31T12:40:57.4789054Z","performance_03","dc3ae6023b26","140.33%","3.001GiB","7.612GiB","39.42%","5.71MB / 3.97MB","132GB / 34.7GB","108"
"2026-07-31T12:40:59.5085568Z","performance_03","dc3ae6023b26","138.29%","2.992GiB","7.612GiB","39.31%","5.71MB / 3.97MB","132GB / 34.7GB","108"
