timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T13:27:50.0258106Z","visualization_01","dc3ae6023b26","173.94%","2.785GiB","7.612GiB","36.59%","7.21MB / 5.47MB","193GB / 35GB","62"
"2026-07-31T13:27:52.0694056Z","visualization_01","dc3ae6023b26","331.46%","2.908GiB","7.612GiB","38.19%","7.21MB / 5.47MB","193GB / 35GB","77"
"2026-07-31T13:27:55.0688632Z","visualization_01","dc3ae6023b26","4.40%","2.908GiB","7.612GiB","38.20%","7.22MB / 5.48MB","193GB / 35GB","78"
"2026-07-31T13:27:57.0986183Z","visualization_01","dc3ae6023b26","4.55%","2.908GiB","7.612GiB","38.20%","7.22MB / 5.48MB","193GB / 35GB","77"
"2026-07-31T13:27:59.1272642Z","visualization_01","dc3ae6023b26","11.56%","2.933GiB","7.612GiB","38.52%","7.23MB / 5.49MB","193GB / 35GB","94"
"2026-07-31T13:28:01.1568567Z","visualization_01","dc3ae6023b26","9.39%","3.012GiB","7.612GiB","39.57%","7.24MB / 5.5MB","193GB / 35GB","106"
"2026-07-31T13:28:04.1619637Z","visualization_01","dc3ae6023b26","9.00%","3.012GiB","7.612GiB","39.57%","7.24MB / 5.5MB","193GB / 35GB","106"
"2026-07-31T13:28:06.1949250Z","visualization_01","dc3ae6023b26","18.60%","3.091GiB","7.612GiB","40.61%","7.24MB / 5.5MB","193GB / 35GB","107"
"2026-07-31T13:28:08.2273602Z","visualization_01","dc3ae6023b26","101.75%","3.114GiB","7.612GiB","40.91%","7.24MB / 5.5MB","193GB / 35GB","107"
"2026-07-31T13:28:10.2574263Z","visualization_01","dc3ae6023b26","112.48%","3.091GiB","7.612GiB","40.61%","7.24MB / 5.5MB","193GB / 35GB","107"
"2026-07-31T13:28:13.2632486Z","visualization_01","dc3ae6023b26","111.38%","3.1GiB","7.612GiB","40.72%","7.24MB / 5.5MB","193GB / 35GB","107"
"2026-07-31T13:28:15.2948526Z","visualization_01","dc3ae6023b26","110.69%","3.099GiB","7.612GiB","40.71%","7.24MB / 5.5MB","193GB / 35GB","107"
"2026-07-31T13:28:17.3243334Z","visualization_01","dc3ae6023b26","112.76%","3.115GiB","7.612GiB","40.92%","7.24MB / 5.5MB","193GB / 35GB","109"
"2026-07-31T13:28:19.3549450Z","visualization_01","dc3ae6023b26","132.95%","3.113GiB","7.612GiB","40.89%","7.24MB / 5.5MB","193GB / 35GB","109"
"2026-07-31T13:28:21.3843020Z","visualization_01","dc3ae6023b26","137.69%","3.138GiB","7.612GiB","41.22%","7.25MB / 5.5MB","193GB / 35GB","109"
"2026-07-31T13:28:24.3880439Z","visualization_01","dc3ae6023b26","139.97%","3.134GiB","7.612GiB","41.16%","7.25MB / 5.51MB","193GB / 35GB","109"
"2026-07-31T13:28:26.4185719Z","visualization_01","dc3ae6023b26","137.86%","3.13GiB","7.612GiB","41.12%","7.25MB / 5.51MB","193GB / 35GB","109"
