timestamp_utc,run_id,container_id,cpu_percent,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
"2026-07-31T11:50:19.9328512Z","warmup_01","dc3ae6023b26","0.22%","140.1MiB","7.612GiB","1.80%","4.04MB / 2.3MB","68.4GB / 34.7GB","62"
"2026-07-31T11:50:22.9837469Z","warmup_01","dc3ae6023b26","343.89%","278.4MiB","7.612GiB","3.57%","4.05MB / 2.31MB","68.4GB / 34.7GB","77"
"2026-07-31T11:50:25.0134340Z","warmup_01","dc3ae6023b26","3.14%","281.9MiB","7.612GiB","3.62%","4.05MB / 2.31MB","68.4GB / 34.7GB","78"
"2026-07-31T11:50:27.0448371Z","warmup_01","dc3ae6023b26","3.63%","283.1MiB","7.612GiB","3.63%","4.05MB / 2.31MB","68.4GB / 34.7GB","77"
"2026-07-31T11:50:29.0769540Z","warmup_01","dc3ae6023b26","171.61%","306.9MiB","7.612GiB","3.94%","4.06MB / 2.32MB","68.4GB / 34.7GB","94"
"2026-07-31T11:50:31.1077121Z","warmup_01","dc3ae6023b26","25.92%","407.2MiB","7.612GiB","5.22%","4.07MB / 2.33MB","68.4GB / 34.7GB","106"
"2026-07-31T11:50:34.1129641Z","warmup_01","dc3ae6023b26","6.53%","407.2MiB","7.612GiB","5.22%","4.07MB / 2.33MB","68.4GB / 34.7GB","106"
"2026-07-31T11:50:36.1462845Z","warmup_01","dc3ae6023b26","5.82%","406.7MiB","7.612GiB","5.22%","4.07MB / 2.33MB","68.4GB / 34.7GB","106"
"2026-07-31T11:50:38.1802819Z","warmup_01","dc3ae6023b26","110.23%","502.9MiB","7.612GiB","6.45%","4.07MB / 2.33MB","68.5GB / 34.7GB","107"
"2026-07-31T11:50:40.2131198Z","warmup_01","dc3ae6023b26","106.38%","518.8MiB","7.612GiB","6.66%","4.07MB / 2.33MB","68.6GB / 34.7GB","107"
"2026-07-31T11:50:43.2196918Z","warmup_01","dc3ae6023b26","111.09%","487.8MiB","7.612GiB","6.26%","4.07MB / 2.33MB","68.6GB / 34.7GB","107"
"2026-07-31T11:50:45.2504600Z","warmup_01","dc3ae6023b26","113.73%","497.6MiB","7.612GiB","6.38%","4.07MB / 2.33MB","68.7GB / 34.7GB","107"
"2026-07-31T11:50:47.2826678Z","warmup_01","dc3ae6023b26","111.06%","490MiB","7.612GiB","6.29%","4.08MB / 2.34MB","68.7GB / 34.7GB","107"
"2026-07-31T11:50:49.3163004Z","warmup_01","dc3ae6023b26","137.27%","497.2MiB","7.612GiB","6.38%","4.08MB / 2.34MB","68.8GB / 34.7GB","109"
"2026-07-31T11:50:51.3536934Z","warmup_01","dc3ae6023b26","136.70%","505.1MiB","7.612GiB","6.48%","4.08MB / 2.34MB","68.8GB / 34.7GB","109"
"2026-07-31T11:50:54.3582158Z","warmup_01","dc3ae6023b26","138.43%","502.9MiB","7.612GiB","6.45%","4.08MB / 2.34MB","68.9GB / 34.7GB","109"
"2026-07-31T11:50:56.4041145Z","warmup_01","dc3ae6023b26","140.14%","508MiB","7.612GiB","6.52%","4.08MB / 2.34MB","68.9GB / 34.7GB","109"
"2026-07-31T11:50:58.4359739Z","warmup_01","dc3ae6023b26","137.91%","517.8MiB","7.612GiB","6.64%","4.08MB / 2.34MB","69GB / 34.7GB","109"
"2026-07-31T11:51:00.4653414Z","warmup_01","dc3ae6023b26","138.48%","518.3MiB","7.612GiB","6.65%","4.08MB / 2.34MB","69.1GB / 34.7GB","109"
"2026-07-31T11:51:03.4725516Z","warmup_01","dc3ae6023b26","138.11%","522.4MiB","7.612GiB","6.70%","4.08MB / 2.34MB","69.1GB / 34.7GB","109"
"2026-07-31T11:51:05.5064205Z","warmup_01","dc3ae6023b26","141.81%","517.8MiB","7.612GiB","6.64%","4.09MB / 2.35MB","69.1GB / 34.7GB","109"
"2026-07-31T11:51:07.5395200Z","warmup_01","dc3ae6023b26","146.56%","524.9MiB","7.612GiB","6.73%","4.09MB / 2.35MB","69.2GB / 34.7GB","109"
"2026-07-31T11:51:09.5700436Z","warmup_01","dc3ae6023b26","145.87%","531MiB","7.612GiB","6.81%","4.09MB / 2.35MB","69.2GB / 34.7GB","109"
"2026-07-31T11:51:11.6006533Z","warmup_01","dc3ae6023b26","146.03%","526.7MiB","7.612GiB","6.76%","4.09MB / 2.35MB","69.3GB / 34.7GB","109"
"2026-07-31T11:51:14.6071454Z","warmup_01","dc3ae6023b26","147.47%","528.9MiB","7.612GiB","6.79%","4.09MB / 2.35MB","69.3GB / 34.7GB","109"
"2026-07-31T11:51:16.6441742Z","warmup_01","dc3ae6023b26","146.21%","533.4MiB","7.612GiB","6.84%","4.09MB / 2.35MB","69.4GB / 34.7GB","109"
"2026-07-31T11:51:18.6767491Z","warmup_01","dc3ae6023b26","145.75%","535MiB","7.612GiB","6.86%","4.09MB / 2.35MB","69.5GB / 34.7GB","109"
