case,n_sat,t_sat_sec,weight_c,weight_l,weight_d,low_upper,medium_upper,low_share,medium_share,high_share,pearson_vs_nominal_sample,spearman_vs_nominal_sample,correlation_sample_size
"N_sat=25,T_sat=150",25.0,150.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.2204698434144659,0.21586090475675615,0.5636692518287779,0.9640410513755856,0.9148215583155495,100000
"N_sat=25,T_sat=300",25.0,300.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.23658850148725083,0.3887623973741677,0.37464910113858146,0.9823938605038925,0.9695650720956644,100000
"N_sat=25,T_sat=600",25.0,600.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.2520394948161278,0.7087134984290938,0.03924700675477842,0.9330901235509638,0.848316806427247,100000
"N_sat=50,T_sat=150",50.0,150.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.27400298160449466,0.2924624122900822,0.43353460610542316,0.9788454945505378,0.9536962058347798,100000
"N_sat=50,T_sat=300",50.0,300.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.3000000789201825,0.399999842159635,0.3000000789201825,1.0,1.0,100000
"N_sat=50,T_sat=600",50.0,600.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.3303882951898938,0.6365086342625659,0.03310307054754033,0.9603754259092332,0.9143290786387129,100000
"N_sat=100,T_sat=150",100.0,150.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.33158472515651843,0.40450776298375113,0.26390751185973044,0.966292822967325,0.9545049667726988,100000
"N_sat=100,T_sat=300",100.0,300.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.37014591552541504,0.47682153700212215,0.15303254747246278,0.9884892753383049,0.9850740025610799,100000
"N_sat=100,T_sat=600",100.0,600.0,0.4,0.3,0.3,0.5558470788261285,0.719099837589,0.42020577648383756,0.557474017502918,0.022320206013244383,0.9501030466866208,0.9261548355091529,100000
recurrence_weight_emphasis,50.0,300.0,0.6,0.2,0.2,0.5558470788261285,0.719099837589,0.27985728074197597,0.20260389250124103,0.517538826756783,0.9968162976249135,0.9962358807567104,100000
lifespan_weight_emphasis,50.0,300.0,0.25,0.5,0.25,0.5558470788261285,0.719099837589,0.819324080205003,0.11223318072800711,0.06844273906698982,0.8557398591333113,0.909351093871934,100000
coverage_weight_emphasis,50.0,300.0,0.25,0.25,0.5,0.5558470788261285,0.719099837589,0.1255927892207658,0.45725801296342916,0.417149197815805,0.7511435959313105,0.7428127268915882,100000
thresholds=0.25/0.50,50.0,300.0,0.4,0.3,0.3,0.25,0.5,0.0,0.2164954230240162,0.7835045769759837,1.0,1.0,100000
thresholds=0.33/0.66,50.0,300.0,0.4,0.3,0.3,0.33,0.66,9.470421899403601e-06,0.49469064472264684,0.5052998848554537,1.0,1.0,100000
thresholds=0.40/0.70,50.0,300.0,0.4,0.3,0.3,0.4,0.7,0.08247632591825606,0.5152714499137008,0.4022522241680432,1.0,1.0,100000
