timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137038.624750853,1,106,93,93,0,93,0.015598
1658137038.724840641,2,146,141,48,93,141,0.018065
1658137038.824929476,3,211,156,20,136,161,0.016170
1658137038.924761057,4,221,153,17,136,178,0.017541
1658137039.024845600,5,171,122,11,111,189,0.015505
1658137039.124808073,6,292,239,62,177,251,0.023830
1658137039.224895239,7,324,244,38,206,289,0.030234
1658137039.324856758,8,80,59,6,53,295,0.010514
1658137039.424824715,9,271,176,26,150,321,0.020096
1658137039.524910688,10,243,165,23,142,344,0.021200
1658137039.624746561,11,440,412,117,295,461,0.038313
1658137039.724836588,12,520,421,70,351,531,0.038039
1658137039.824910402,13,411,257,22,235,553,0.100213
1658137039.924752235,14,375,258,31,227,584,0.032485
1658137040.024843931,15,447,297,61,236,645,0.033408
1658137040.124804497,16,506,362,59,303,704,0.058602
1658137040.224885464,17,359,277,52,225,756,0.033744
1658137040.324917316,18,639,503,90,413,846,0.049480
1658137040.424757481,19,706,530,67,463,913,0.050523
1658137040.524852276,20,584,436,56,380,969,0.046901
1658137040.624824524,21,737,589,78,511,1047,0.057554
1658137040.724930048,22,430,349,52,297,1099,0.042587
1658137040.824769497,23,534,396,62,334,1161,0.059387
1658137040.924866199,24,521,383,58,325,1219,0.043949
1658137041.024715185,25,780,629,104,525,1323,0.069495
1658137041.124927521,26,330,232,45,187,1368,0.035096
1658137041.224772692,27,689,485,85,400,1453,0.068153
1658137041.324922085,28,718,554,98,456,1551,0.059579
1658137041.424759150,29,965,754,117,637,1668,0.072519
1658137041.524841309,30,1082,814,114,700,1782,0.081739
1658137041.624929428,31,969,741,152,589,1934,0.078781
1658137041.724767923,32,331,260,16,244,1950,0.171225
1658137041.824869633,33,725,572,78,494,2028,0.072238
1658137041.924714327,34,1331,1081,151,930,2179,0.111684
1658137042.024935007,35,976,723,77,646,2256,0.104507
1658137042.124760151,36,625,493,39,454,2295,0.065109
1658137042.224861860,37,816,642,68,574,2363,0.109989
1658137042.324903250,38,1698,1310,185,1125,2548,0.134388
1658137042.424739361,39,365,289,20,269,2568,0.044893
1658137042.524814606,40,1141,944,95,849,2663,0.095684
1658137042.624909639,41,1374,1089,116,973,2779,0.128032
1658137042.724750757,42,1596,1264,161,1103,2940,0.134520
1658137042.824854851,43,1563,1274,141,1133,3081,0.130304
1658137042.924814939,44,1218,1001,85,916,3166,0.104724
1658137043.024902582,45,1647,1337,166,1171,3332,0.138846
1658137043.124729633,46,1286,1059,87,972,3419,0.116559
1658137043.224834442,47,2196,1723,191,1532,3610,0.170445
1658137043.324897289,48,1314,1077,75,1002,3685,0.117200
1658137043.424738884,49,1628,1290,110,1180,3795,0.132896
1658137043.524831533,50,1767,1468,118,1350,3913,0.151242
1658137043.624813080,51,1395,1128,101,1027,4014,0.127407
1658137043.724911451,52,2289,1891,115,1776,4129,0.179818
1658137043.824754000,53,2006,1565,142,1423,4271,0.172708
1658137043.924834490,54,1858,1532,131,1401,4402,0.172013
1658137044.024915218,55,2227,1859,132,1727,4534,0.199914
1658137044.124754429,56,1692,1311,51,1260,4585,0.146570
1658137044.224855900,57,1623,1337,50,1287,4635,0.144632
