timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137038.624750853,1785561225.223078489,1,62,113,91,0,72000,107,92,0.000000000,0.228643000,0.322967000,0.092525000,0.000371000,0.092896000,1.594980000,0,17
1658137038.724840641,1785561226.223781824,2,113,167,86,0,72000,151,139,0.000000000,0.329746000,0.430244000,0.066874000,0.000547000,0.067421000,2.217334000,0,2
1658137038.824929476,1785561227.224356651,3,167,206,95,0,72000,219,172,0.000000000,0.585267000,0.697036000,0.099455000,0.000436000,0.099891000,2.728121000,0,18
1658137038.924761057,1785561228.224539280,4,206,230,94,0,72000,227,175,0.000000000,0.530974000,0.675768000,0.092026000,0.000473000,0.092499000,2.757567000,0,17
1658137039.024845600,1785561229.223425388,5,230,249,52,0,72000,167,137,0.000000000,0.440699000,0.551626000,0.082561000,0.000537000,0.083098000,1.729728000,0,18
1658137039.124808073,1785561230.224525928,6,249,307,105,0,72000,296,215,0.000000000,0.689703000,0.815412000,0.106048000,0.000428000,0.106476000,2.802746000,0,18
1658137039.224895239,1785561231.224845171,7,307,331,93,0,72000,328,251,0.000000000,0.814263000,0.978386000,0.128264000,0.000511000,0.128775000,3.081998000,0,11
1658137039.324856758,1785561232.222617149,8,331,350,20,0,72000,79,77,0.000000000,0.203873000,0.277638000,0.019119000,0.000508000,0.019627000,0.795066000,0,18
1658137039.424824715,1785561233.224109173,9,350,378,92,0,72000,273,216,0.000000000,0.779459000,0.917859000,0.139841000,0.000604000,0.140445000,2.215394000,0,18
1658137039.524910688,1785561234.223443031,10,378,412,59,0,72000,229,192,0.000000000,0.581399000,0.696469000,0.053153000,0.000406000,0.053559000,1.465060000,0,11
1658137039.624746561,1785561235.224026203,11,412,504,187,0,72000,439,289,0.000000000,1.101044000,1.247751000,0.204285000,0.000407000,0.204692000,3.381528000,0,20
1658137039.724836588,1785561236.224293947,12,504,573,196,0,72000,528,344,0.000000000,1.243259000,1.411657000,0.283017000,0.000368000,0.283385000,3.632120000,0,27
1658137039.824910402,1785561237.223320484,13,573,623,101,0,72000,413,260,0.000000000,1.075256000,1.216957000,0.119584000,0.000684000,0.120268000,2.425993000,0,18
1658137039.924752235,1785561238.223264456,14,623,652,104,0,72000,377,234,0.000000000,1.143013000,1.291104000,0.148860000,0.000633000,0.149493000,2.490798000,0,12
1658137040.024843931,1785561239.223094463,15,652,722,133,0,72000,442,266,0.000000000,1.166756000,1.307329000,0.139041000,0.000436000,0.139477000,2.299321000,0,25
1658137040.124804497,1785561240.223482609,16,722,776,142,0,72000,497,332,0.000000000,1.315927000,1.475631000,0.176807000,0.000665000,0.177472000,2.630864000,0,20
