stamp_ns,position_difference_m,rotation_difference_deg
1658137038724836864,0.0,0.0
1658137038824924928,0.0,0.0
1658137038924756992,0.0,0.0
1658137039024841216,0.0,0.0
1658137039123235328,0.0,0.0
1658137039224891392,0.0,0.0
1658137039324852480,0.0,0.0
1658137039423654144,0.0,0.0
1658137039523622144,0.0,0.0
1658137039623707904,0.0,0.0
1658137039721754880,0.0,0.0
1658137039824905984,0.0,0.0
1658137039924747776,0.0,0.0
1658137040023597056,0.0,0.0
1658137040087601920,0.0,0.0
1658137040208980224,0.0,0.0
1658137040308223232,0.0,0.0
1658137040407313664,0.0,0.0
1658137040524847872,0.0,0.0
1658137040604856576,0.0,0.0
1658137040724925696,0.0,0.0
1658137040824520448,0.0,0.0
1658137040924237056,0.0,0.0
1658137041024710656,0.0,0.0
1658137041121891328,0.0,0.0
1658137041220607744,0.0,0.0
1658137041319080960,0.0,0.0
1658137041424754944,0.0,0.0
1658137041524836864,0.0,0.0
1658137041624143616,0.0,0.0
1658137041707557376,0.0,0.0
1658137041806424064,0.0,0.0
1658137041905147904,0.0,0.0
1658137042024931072,0.0,0.0
1658137042124755968,0.0,0.0
1658137042224333568,0.0,0.0
1658137042324898816,0.0,0.0
1658137042421822208,0.0,0.0
1658137042520474368,0.0,0.0
1658137042619148544,0.0,0.0
1658137042717639936,0.0,0.0
1658137042819605504,0.0,0.0
1658137042918654464,0.0,0.0
1658137043024898816,0.0,0.0
1658137043106370560,0.0,0.0
1658137043221887488,0.0,0.0
1658137043320371968,0.0,0.0
1658137043424734720,0.0,0.0
1658137043524337408,0.0,0.0
1658137043622970368,0.0,0.0
1658137043721617408,0.0,0.0
1658137043824749824,0.0,0.0
1658137043922389504,0.0,0.0
1658137044021420544,0.0,0.0
1658137044109901568,0.0,0.0
1658137044224851712,0.0,0.0
1658137044324718592,0.0,0.0
1658137044423091456,0.0,0.0
1658137044524903936,0.0,0.0
1658137044624574976,0.0,0.0
1658137044724823552,0.0,0.0
1658137044824068864,0.0,0.0
1658137044922734080,0.0,0.0
