timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137038.624750853,1,107,33,33,0,33,0.010463
1658137038.724840641,2,151,47,14,33,47,0.010345
1658137038.824929476,3,219,50,5,45,52,0.007671
1658137038.924761057,4,227,54,6,48,58,0.008692
1658137039.024845600,5,167,48,7,41,65,0.012129
1658137039.124808073,6,296,73,16,57,81,0.014243
1658137039.224895239,7,328,80,8,72,89,0.013705
1658137039.324856758,8,79,27,0,27,89,0.008629
1658137039.424824715,9,273,81,15,66,104,0.015450
1658137039.524910688,10,229,62,3,59,107,0.010982
1658137039.624746561,11,439,123,32,91,139,0.020352
1658137039.724836588,12,528,144,24,120,163,0.042840
1658137039.824910402,13,413,99,3,96,166,0.016169
1658137039.924752235,14,377,121,14,107,180,0.026127
1658137040.024843931,15,442,130,20,110,200,0.017773
1658137040.124804497,16,497,143,16,127,216,0.022604
1658137040.224885464,17,357,122,16,106,232,0.023067
1658137040.324917316,18,637,204,31,173,263,0.029100
1658137040.424757481,19,706,218,30,188,293,0.035654
1658137040.524852276,20,584,189,21,168,314,0.028880
1658137040.624824524,21,733,233,17,216,331,0.031765
1658137040.724930048,22,431,149,11,138,342,0.029799
1658137040.824769497,23,531,166,18,148,360,0.023895
1658137040.924866199,24,521,171,18,153,378,0.024610
1658137041.024715185,25,778,262,31,231,409,0.034901
1658137041.124927521,26,328,111,7,104,416,0.019399
1658137041.224772692,27,689,197,19,178,435,0.028866
1658137041.324922085,28,714,236,29,207,464,0.035064
1658137041.424759150,29,971,308,30,278,494,0.037509
1658137041.524841309,30,1089,319,30,289,524,0.059738
1658137041.624929428,31,971,303,35,268,559,0.043885
1658137041.724767923,32,333,123,5,118,564,0.021085
1658137041.824869633,33,727,239,25,214,589,0.028968
1658137041.924714327,34,1334,404,34,370,623,0.057030
1658137042.024935007,35,968,297,22,275,645,0.039600
1658137042.124760151,36,621,217,10,207,655,0.031774
1658137042.224861860,37,817,277,24,253,679,0.039377
1658137042.324903250,38,1698,470,55,415,734,0.065976
1658137042.424739361,39,371,144,5,139,739,0.024922
1658137042.524814606,40,1142,376,30,346,769,0.048705
1658137042.624909639,41,1382,417,21,396,790,0.051334
1658137042.724750757,42,1597,477,44,433,834,0.058799
1658137042.824854851,43,1566,482,38,444,872,0.073243
1658137042.924814939,44,1227,393,22,371,894,0.056316
1658137043.024902582,45,1645,512,44,468,938,0.078518
1658137043.124729633,46,1288,414,14,400,952,0.055028
1658137043.224834442,47,2188,630,48,582,1000,0.079836
1658137043.324897289,48,1315,442,29,413,1029,0.062140
1658137043.424738884,49,1623,520,27,493,1056,0.065168
1658137043.524831533,50,1761,570,31,539,1087,0.071198
1658137043.624813080,51,1399,468,30,438,1117,0.056049
1658137043.724911451,52,2283,714,39,675,1156,0.088884
1658137043.824754000,53,2006,611,42,569,1198,0.079572
1658137043.924834490,54,1862,601,33,568,1231,0.072405
1658137044.024915218,55,2224,719,35,684,1266,0.083768
1658137044.124754429,56,1650,504,12,492,1278,0.058608
1658137044.224855900,57,1625,518,14,504,1292,0.064362
1658137044.324722767,58,2100,676,29,647,1321,0.076709
1658137044.424809933,59,1991,646,16,630,1337,0.074444
1658137044.524908304,60,1407,473,3,470,1340,0.060096
1658137044.624745369,61,2135,689,11,678,1351,0.093552
1658137044.724828005,62,906,349,5,344,1356,0.051590
1658137044.824914217,63,2088,689,9,680,1365,0.097143
