checkpoint_timestamp,voxel_x,voxel_y,voxel_z,first_seen_time,last_seen_time,total_point_hits,observed_frames,active_time_bins,sum_x,sum_y,sum_z
1658137044.824914217,0,1,1,1658137038.624750853,1658137044.824914217,143,38,1,25.409597397,216.466644645,213.648406625
1658137044.824914217,-1,1,0,1658137038.624750853,1658137038.824929476,5,3,1,-1.771345973,5.652691722,3.992915750
1658137044.824914217,-1,1,1,1658137038.624750853,1658137038.824929476,6,3,1,-1.561473757,6.626386642,7.094454646
1658137044.824914217,-1,0,1,1658137038.624750853,1658137043.324897289,29,10,1,-7.109299065,13.789227179,41.285923958
1658137044.824914217,0,0,1,1658137038.624750853,1658137044.824914217,167,39,1,23.757438997,79.924574918,244.479328513
1658137044.824914217,0,-1,1,1658137038.624750853,1658137044.824914217,123,43,1,11.704854465,-70.453850692,180.792725563
1658137044.824914217,0,2,0,1658137038.624750853,1658137044.624745369,158,42,1,35.838193700,392.629281282,74.810773894
1658137044.824914217,0,1,-1,1658137038.624750853,1658137044.824914217,191,48,1,43.500384385,283.290562630,-95.085787790
1658137044.824914217,0,0,-1,1658137038.624750853,1658137044.824914217,210,51,1,45.124653414,106.406081626,-115.328177178
1658137044.824914217,0,-2,-1,1658137038.624750853,1658137044.824914217,250,60,1,44.844201152,-374.709130168,-129.748687765
1658137044.824914217,0,-3,-1,1658137038.624750853,1658137044.824914217,299,61,1,53.979771420,-752.151079416,-140.349452911
1658137044.824914217,0,0,0,1658137038.624750853,1658137044.824914217,224,49,1,38.860809732,109.962726959,104.517248112
1658137044.824914217,0,-2,0,1658137038.624750853,1658137044.824914217,234,59,1,36.538327105,-352.188161731,110.293666037
1658137044.824914217,0,2,-1,1658137038.624750853,1658137044.824914217,186,46,1,44.802106753,458.469338179,-91.625070089
1658137044.824914217,0,1,-2,1658137038.624750853,1658137044.824914217,184,48,1,42.817171999,271.513475060,-272.944023132
1658137044.824914217,0,-3,0,1658137038.624750853,1658137044.824914217,263,61,1,42.422553748,-662.558421850,130.360678210
1658137044.824914217,0,2,-2,1658137038.624750853,1658137044.824914217,154,42,1,41.268469624,374.946631908,-229.771399260
1658137044.824914217,0,1,0,1658137038.624750853,1658137044.624745369,200,47,1,37.177958217,296.484455347,98.739522553
1658137044.824914217,0,0,-2,1658137038.624750853,1658137044.824914217,220,49,1,39.190006118,111.611875278,-332.398197055
1658137044.824914217,0,-2,-2,1658137038.624750853,1658137044.824914217,236,55,1,49.473589927,-360.488754272,-355.546638012
1658137044.824914217,0,-3,-2,1658137038.624750853,1658137044.824914217,238,60,1,47.141129196,-594.051385880,-349.061344862
1658137044.824914217,0,2,-3,1658137038.624750853,1658137044.824914217,117,35,1,34.998101316,289.637131214,-287.784319401
1658137044.824914217,0,-1,0,1658137038.624750853,1658137044.824914217,218,54,1,30.859595131,-108.923830069,107.084024645
1658137044.824914217,0,1,-3,1658137038.624750853,1658137044.824914217,204,43,1,54.396918588,307.862449288,-511.933899641
1658137044.824914217,0,0,-3,1658137038.624750853,1658137044.824914217,217,48,1,46.751034770,105.610819990,-542.445147753
1658137044.824914217,0,-2,-3,1658137038.624750853,1658137044.824914217,204,54,1,48.609229520,-303.163469076,-508.748459101
1658137044.824914217,0,-1,-3,1658137038.624750853,1658137044.824914217,220,55,1,57.812792167,-106.368693630,-549.558123827
1658137044.824914217,0,-3,-3,1658137038.624750853,1658137044.724828005,188,49,1,40.869205222,-466.176043272,-465.829625607
1658137044.824914217,0,1,-4,1658137038.624750853,1658137044.824914217,156,42,1,49.286374536,227.275081158,-540.423798800
1658137044.824914217,0,0,-4,1658137038.624750853,1658137044.824914217,190,48,1,57.049798906,89.711757744,-664.044564009
1658137044.824914217,0,-2,1,1658137038.624750853,1658137044.824914217,174,48,1,22.267096769,-261.995135665,253.585371733
1658137044.824914217,0,-1,-4,1658137038.624750853,1658137044.824914217,186,49,1,53.176563211,-94.126897579,-651.038580894
1658137044.824914217,0,-2,-4,1658137038.624750853,1658137044.724828005,185,46,1,42.982706092,-276.575615764,-637.558346033
1658137044.824914217,0,-2,2,1658137038.724840641,1658137044.824914217,145,43,1,13.272728760,-216.289477229,358.115702152
1658137044.824914217,0,0,2,1658137038.724840641,1658137044.824914217,135,39,1,14.121251041,66.578858281,333.269068956
1658137044.824914217,0,-1,2,1658137038.724840641,1658137044.824914217,127,37,1,9.670323327,-66.307221416,322.305941820
1658137044.824914217,0,-4,-1,1658137038.724840641,1658137044.824914217,267,60,1,52.010998279,-927.086402655,-144.200974038
1658137044.824914217,-1,2,-3,1658137038.724840641,1658137040.624824524,5,4,1,-3.258360192,12.832686663,-10.466331959
1658137044.824914217,0,-1,-1,1658137038.724840641,1658137044.824914217,242,54,1,44.763330098,-118.213991823,-119.914021239
1658137044.824914217,0,-1,-2,1658137038.724840641,1658137044.824914217,201,52,1,44.791807987,-105.059677234,-299.331809282
1658137044.824914217,-1,2,-1,1658137038.724840641,1658137038.724840641,1,1,1,-0.089212902,2.000516653,-0.008103594
1658137044.824914217,0,-4,-2,1658137038.724840641,1658137044.824914217,212,59,1,44.007869259,-746.396585941,-315.550091386
1658137044.824914217,0,-3,1,1658137038.724840641,1658137044.824914217,177,52,1,24.991568044,-443.484438896,258.945977688
1658137044.824914217,-1,0,0,1658137038.724840641,1658137044.324722767,34,10,1,-11.229104702,15.985092258,16.040950015
1658137044.824914217,0,-3,-4,1658137038.724840641,1658137044.624745369,123,40,1,29.144468591,-307.250279903,-430.097344160
1658137044.824914217,0,-1,-5,1658137038.724840641,1658137044.724828005,153,41,1,49.856311997,-68.829551742,-682.761072636
1658137044.824914217,0,-2,-5,1658137038.724840641,1658137044.724828005,122,37,1,31.767023432,-176.330853701,-547.787264347
1658137044.824914217,0,-4,1,1658137038.824929476,1658137044.824914217,202,51,1,31.810233638,-706.712296486,295.627420306
1658137044.824914217,0,-4,0,1658137038.824929476,1658137044.824914217,230,57,1,40.921833530,-806.831404209,113.445170153
