voxel_x,voxel_y,voxel_z,center_x,center_y,center_z,mean_x,mean_y,mean_z,first_seen_time,last_seen_time,lifespan_sec,total_point_hits,observed_frames,active_time_bins
-1,-10,-14,-0.500000000,-9.500000000,-13.500000000,-0.814972937,-9.026271820,-13.431319237,1658137044.824914217,1658137044.824914217,0.000000000,1,1,1
-1,-9,16,-0.500000000,-8.500000000,16.500000000,-0.455709994,-8.075511932,16.090421677,1658137044.824914217,1658137044.824914217,0.000000000,1,1,1
-4,-5,-13,-3.500000000,-4.500000000,-12.500000000,-3.018927336,-4.463860035,-12.629194260,1658137044.824914217,1658137044.824914217,0.000000000,1,1,1
-6,-15,-5,-5.500000000,-14.500000000,-4.500000000,-5.140564442,-14.987556458,-4.103481293,1658137044.824914217,1658137044.824914217,0.000000000,1,1,1
-1,-1,17,-0.500000000,-0.500000000,17.500000000,-0.227614030,-0.876857162,17.118947983,1658137044.824914217,1658137044.824914217,0.000000000,1,1,1
-7,-14,1,-6.500000000,-13.500000000,1.500000000,-6.362747431,-13.913172245,1.710951090,1658137044.824914217,1658137044.824914217,0.000000000,2,1,1
-1,-8,16,-0.500000000,-7.500000000,16.500000000,-0.400472865,-7.517184019,16.426804543,1658137044.824914217,1658137044.824914217,0.000000000,2,1,1
-1,12,-1,-0.500000000,12.500000000,-0.500000000,-0.097988479,12.377447128,-0.046352588,1658137044.824914217,1658137044.824914217,0.000000000,1,1,1
-1,-2,17,-0.500000000,-1.500000000,17.500000000,-0.196492732,-1.606735408,17.398735046,1658137044.824914217,1658137044.824914217,0.000000000,2,1,1
0,-8,-18,0.500000000,-7.500000000,-17.500000000,0.596772075,-7.398371696,-17.143049240,1658137044.724828005,1658137044.724828005,0.000000000,1,1,1
0,-7,-18,0.500000000,-6.500000000,-17.500000000,0.592927307,-6.687432528,-17.426776886,1658137044.724828005,1658137044.724828005,0.000000000,2,1,1
0,-9,-17,0.500000000,-8.500000000,-16.500000000,0.584889501,-8.322011471,-16.310956001,1658137044.724828005,1658137044.724828005,0.000000000,2,1,1
-7,-15,0,-6.500000000,-14.500000000,0.500000000,-6.316733837,-14.095426559,0.901922822,1658137044.724828005,1658137044.724828005,0.000000000,1,1,1
-3,3,13,-2.500000000,3.500000000,13.500000000,-2.138856649,3.953606606,13.891041756,1658137044.724828005,1658137044.724828005,0.000000000,1,1,1
-3,-6,-15,-2.500000000,-5.500000000,-14.500000000,-2.694605033,-5.113497734,-14.170623779,1658137044.624745369,1658137044.724828005,0.100082636,3,2,1
-5,-4,-15,-4.500000000,-3.500000000,-14.500000000,-4.065280437,-3.487904787,-14.231107712,1658137044.624745369,1658137044.624745369,0.000000000,1,1,1
0,13,-2,0.500000000,13.500000000,-1.500000000,0.406521887,13.010869026,-1.182415366,1658137044.624745369,1658137044.624745369,0.000000000,1,1,1
-3,-5,-12,-2.500000000,-4.500000000,-11.500000000,-2.577652454,-4.426858425,-11.999201775,1658137044.624745369,1658137044.624745369,0.000000000,1,1,1
-1,-20,-2,-0.500000000,-19.500000000,-1.500000000,-0.137765259,-19.021040599,-1.696479877,1658137044.624745369,1658137044.624745369,0.000000000,3,1,1
-1,-20,-3,-0.500000000,-19.500000000,-2.500000000,-0.120660350,-19.030429840,-2.060480595,1658137044.624745369,1658137044.624745369,0.000000000,1,1,1
-1,-19,3,-0.500000000,-18.500000000,3.500000000,-0.286949098,-18.059387207,3.264547586,1658137044.624745369,1658137044.824914217,0.200168848,2,2,1
-1,10,0,-0.500000000,10.500000000,0.500000000,-0.193046108,10.959240913,0.008623939,1658137044.624745369,1658137044.624745369,0.000000000,1,1,1
0,13,-1,0.500000000,13.500000000,-0.500000000,0.266363382,13.057259560,-0.765091181,1658137044.624745369,1658137044.624745369,0.000000000,1,1,1
-1,10,10,-0.500000000,10.500000000,10.500000000,-0.083014540,10.339798927,10.517618179,1658137044.624745369,1658137044.624745369,0.000000000,1,1,1
-1,10,11,-0.500000000,10.500000000,11.500000000,-0.006071107,10.068094254,11.298720360,1658137044.624745369,1658137044.624745369,0.000000000,1,1,1
0,-13,-16,0.500000000,-12.500000000,-15.500000000,0.443643928,-12.032833099,-15.132838249,1658137044.524908304,1658137044.524908304,0.000000000,1,1,1
-1,5,15,-0.500000000,5.500000000,15.500000000,-0.091710648,5.515573144,15.153468609,1658137044.524908304,1658137044.824914217,0.300005913,4,2,1
-1,-14,12,-0.500000000,-13.500000000,12.500000000,-0.583927254,-13.241470655,12.462920189,1658137044.524908304,1658137044.524908304,0.000000000,3,1,1
0,-11,-17,0.500000000,-10.500000000,-16.500000000,0.579211235,-10.330133915,-16.045258522,1658137044.424809933,1658137044.624745369,0.199935436,2,2,1
0,-15,-14,0.500000000,-14.500000000,-13.500000000,0.308334271,-14.193308512,-13.312450409,1658137044.424809933,1658137044.824914217,0.400104284,3,2,1
-1,-12,14,-0.500000000,-11.500000000,14.500000000,-0.607682288,-11.328646978,14.263737361,1658137044.424809933,1658137044.624745369,0.199935436,3,2,1
0,-18,-10,0.500000000,-17.500000000,-9.500000000,0.006082781,-17.034229279,-9.321827888,1658137044.424809933,1658137044.424809933,0.000000000,1,1,1
-1,-18,-9,-0.500000000,-17.500000000,-8.500000000,-0.063009902,-17.337893804,-8.433247248,1658137044.424809933,1658137044.724828005,0.300018072,3,2,1
-1,-18,-10,-0.500000000,-17.500000000,-9.500000000,-0.006414466,-17.176618576,-9.082022667,1658137044.424809933,1658137044.424809933,0.000000000,1,1,1
-1,-11,14,-0.500000000,-10.500000000,14.500000000,-0.561009869,-10.318157434,14.485580921,1658137044.424809933,1658137044.624745369,0.199935436,4,2,1
0,7,-14,0.500000000,7.500000000,-13.500000000,0.695317507,7.364386177,-13.243354607,1658137044.424809933,1658137044.624745369,0.199935436,5,3,1
-1,-8,-8,-0.500000000,-7.500000000,-7.500000000,-0.633315690,-7.916097879,-7.235044718,1658137044.424809933,1658137044.824914217,0.400104284,4,4,1
-2,-8,-8,-1.500000000,-7.500000000,-7.500000000,-1.335550507,-7.961266518,-7.276467641,1658137044.424809933,1658137044.724828005,0.300018072,3,2,1
-2,-17,1,-1.500000000,-16.500000000,1.500000000,-1.056427240,-16.215787888,1.620113313,1658137044.424809933,1658137044.624745369,0.199935436,2,2,1
-1,-18,5,-0.500000000,-17.500000000,5.500000000,-0.327528004,-17.297955922,5.363487380,1658137044.424809933,1658137044.724828005,0.300018072,7,3,1
-1,-18,6,-0.500000000,-17.500000000,6.500000000,-0.337573618,-17.108600616,6.048903465,1658137044.424809933,1658137044.424809933,0.000000000,1,1,1
0,10,10,0.500000000,10.500000000,10.500000000,0.142418357,10.587402980,10.317082405,1658137044.424809933,1658137044.624745369,0.199935436,3,2,1
-1,-13,13,-0.500000000,-12.500000000,13.500000000,-0.591563334,-12.303742409,13.230838299,1658137044.424809933,1658137044.624745369,0.199935436,6,3,1
0,10,11,0.500000000,10.500000000,11.500000000,0.098893322,10.293784618,11.037356377,1658137044.424809933,1658137044.624745369,0.199935436,2,2,1
0,-13,-15,0.500000000,-12.500000000,-14.500000000,0.405824827,-12.532592350,-14.494194773,1658137044.324722767,1658137044.824914217,0.500191450,9,4,1
0,-12,-16,0.500000000,-11.500000000,-15.500000000,0.481804748,-11.501931508,-15.378976504,1658137044.324722767,1658137044.524908304,0.200185537,6,2,1
0,-14,-15,0.500000000,-13.500000000,-14.500000000,0.374201030,-13.156621933,-14.180991888,1658137044.324722767,1658137044.824914217,0.500191450,4,3,1
0,-12,-15,0.500000000,-11.500000000,-14.500000000,0.439403864,-11.468885335,-14.418946266,1658137044.324722767,1658137044.824914217,0.500191450,11,4,1
0,-11,-15,0.500000000,-10.500000000,-14.500000000,0.521741635,-10.513324102,-14.599296125,1658137044.324722767,1658137044.824914217,0.500191450,15,4,1
0,-14,-14,0.500000000,-13.500000000,-13.500000000,0.333737652,-13.422521909,-13.458810912,1658137044.324722767,1658137044.824914217,0.500191450,9,4,1
0,-13,-14,0.500000000,-12.500000000,-13.500000000,0.358753362,-12.428405149,-13.509473119,1658137044.324722767,1658137044.824914217,0.500191450,14,4,1
0,-15,-13,0.500000000,-14.500000000,-12.500000000,0.219246125,-14.526719689,-12.382237673,1658137044.324722767,1658137044.824914217,0.500191450,8,3,1
-1,-17,-10,-0.500000000,-16.500000000,-9.500000000,-0.029122857,-16.250710964,-9.318283796,1658137044.324722767,1658137044.424809933,0.100087166,4,2,1
-2,2,-15,-1.500000000,2.500000000,-14.500000000,-1.874577145,2.263420542,-14.477639357,1658137044.324722767,1658137044.824914217,0.500191450,6,4,1
-1,11,-2,-0.500000000,11.500000000,-1.500000000,-0.050368886,11.740525246,-1.153509021,1658137044.324722767,1658137044.324722767,0.000000000,1,1,1
-6,-15,-4,-5.500000000,-14.500000000,-3.500000000,-5.158467007,-14.862656403,-3.524623966,1658137044.324722767,1658137044.824914217,0.500191450,5,3,1
0,12,7,0.500000000,12.500000000,7.500000000,0.307626165,12.262116909,7.486067295,1658137044.324722767,1658137044.824914217,0.500191450,4,2,1
0,12,-1,0.500000000,12.500000000,-0.500000000,0.177397684,12.423953056,-0.561659452,1658137044.324722767,1658137044.824914217,0.500191450,19,3,1
0,11,-7,0.500000000,11.500000000,-6.500000000,0.249708365,11.141828537,-6.508068323,1658137044.324722767,1658137044.624745369,0.300022602,4,2,1
0,11,-8,0.500000000,11.500000000,-7.500000000,0.553409480,11.197647095,-7.396229267,1658137044.324722767,1658137044.624745369,0.300022602,4,2,1
-1,-19,2,-0.500000000,-18.500000000,2.500000000,-0.277968213,-18.101639430,2.641987681,1658137044.324722767,1658137044.824914217,0.500191450,6,4,1
0,11,-6,0.500000000,11.500000000,-5.500000000,0.378201195,11.441776412,-5.652982303,1658137044.324722767,1658137044.624745369,0.300022602,7,2,1
0,12,-5,0.500000000,12.500000000,-4.500000000,0.466484696,12.086248398,-4.007571697,1658137044.324722767,1658137044.624745369,0.300022602,2,2,1
0,12,-4,0.500000000,12.500000000,-3.500000000,0.533993348,12.291074276,-3.355713526,1658137044.324722767,1658137044.624745369,0.300022602,6,2,1
0,12,-3,0.500000000,12.500000000,-2.500000000,0.433985808,12.399970889,-2.445414394,1658137044.324722767,1658137044.624745369,0.300022602,8,2,1
-2,-16,5,-1.500000000,-15.500000000,5.500000000,-1.159976721,-15.082411766,5.016926765,1658137044.324722767,1658137044.324722767,0.000000000,1,1,1
0,12,-2,0.500000000,12.500000000,-1.500000000,0.400457997,12.303292394,-1.551204756,1658137044.324722767,1658137044.824914217,0.500191450,8,3,1
-1,12,0,-0.500000000,12.500000000,0.500000000,-0.094943834,12.470746994,0.504561099,1658137044.324722767,1658137044.824914217,0.500191450,11,3,1
0,12,6,0.500000000,12.500000000,6.500000000,0.225156131,12.413980893,6.569619111,1658137044.324722767,1658137044.824914217,0.500191450,7,2,1
-1,1,16,-0.500000000,1.500000000,16.500000000,-0.237281362,1.596426626,16.245123545,1658137044.324722767,1658137044.524908304,0.200185537,6,2,1
0,4,15,0.500000000,4.500000000,15.500000000,0.011431182,4.083691597,15.181069374,1658137044.324722767,1658137044.524908304,0.200185537,2,2,1
-1,2,16,-0.500000000,2.500000000,16.500000000,-0.239904381,2.616507947,16.393851757,1658137044.324722767,1658137044.524908304,0.200185537,4,2,1
-1,3,16,-0.500000000,3.500000000,16.500000000,-0.217496048,3.423015803,16.287174225,1658137044.324722767,1658137044.524908304,0.200185537,8,2,1
0,-1,-18,0.500000000,-0.500000000,-17.500000000,0.664139777,-0.322281934,-17.071303368,1658137044.224855900,1658137044.424809933,0.199954033,4,2,1
0,0,-18,0.500000000,0.500000000,-17.500000000,0.637916505,0.406558658,-17.062357585,1658137044.224855900,1658137044.424809933,0.199954033,3,2,1
-3,-4,-16,-2.500000000,-3.500000000,-15.500000000,-2.390494823,-3.912662745,-15.163904190,1658137044.224855900,1658137044.224855900,0.000000000,1,1,1
-2,0,-16,-1.500000000,0.500000000,-15.500000000,-1.926403672,0.527221926,-15.118200779,1658137044.224855900,1658137044.724828005,0.499972105,4,3,1
-3,0,-15,-2.500000000,0.500000000,-14.500000000,-2.036825657,0.944705725,-14.684146881,1658137044.224855900,1658137044.224855900,0.000000000,1,1,1
-2,-8,-6,-1.500000000,-7.500000000,-5.500000000,-1.555551648,-7.108066082,-5.954274654,1658137044.224855900,1658137044.224855900,0.000000000,1,1,1
