timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137038.624750853,1785560913.441092014,1,62,111,83,0,72000,106,86,0.000000000,0.313657000,0.567071000,0.078714000,0.000454000,0.079168000,1.910474000,0,17
1658137038.724840641,1785560913.541397810,2,111,154,75,0,72000,147,121,0.000000000,0.162656000,0.259401000,0.105226000,0.000439000,0.105665000,2.234480000,0,23
1658137038.824929476,1785560913.641859293,3,154,212,113,0,72000,213,170,0.000000000,0.208893000,0.316492000,0.101275000,0.000544000,0.101819000,2.674168000,0,18
1658137038.924761057,1785560913.741972923,4,212,237,53,0,72000,225,165,0.000000000,0.235778000,0.345598000,0.048126000,0.000480000,0.048606000,2.644626000,0,13
1658137039.024845600,1785560913.840711832,5,237,267,79,0,72000,166,131,0.000000000,0.191488000,0.293153000,0.079132000,0.000451000,0.079583000,1.501920000,0,17
1658137039.124808073,1785560913.941761732,6,267,320,144,0,72000,293,212,0.000000000,0.308319000,0.432466000,0.132051000,0.000745000,0.132796000,2.582564000,0,17
1658137039.224895239,1785560914.041923046,7,320,332,51,0,72000,331,250,0.000000000,0.370222000,0.513699000,0.058089000,0.000669000,0.058758000,2.679206000,0,11
1658137039.324856758,1785560914.139966249,8,332,339,18,0,72000,83,83,0.000000000,0.116139000,0.184885000,0.022511000,0.000450000,0.022961000,0.792919000,0,15
1658137039.424824715,1785560914.240995646,9,339,366,87,0,72000,272,210,0.000000000,0.296161000,0.423780000,0.150684000,0.000764000,0.151448000,1.765686000,0,11
1658137039.524910688,1785560914.340415716,10,366,376,59,0,72000,233,180,0.000000000,0.232126000,0.342844000,0.099162000,0.000475000,0.099637000,1.242402000,0,12
1658137039.624746561,1785560914.442053556,11,376,454,199,0,72000,437,304,0.000000000,0.425032000,0.569405000,0.282907000,0.000496000,0.283403000,2.833019000,0,20
1658137039.724836588,1785560914.542195797,12,454,570,190,0,72000,524,346,0.000000000,0.466264000,0.622262000,0.182402000,0.000595000,0.182997000,2.881764000,0,27
1658137039.824910402,1785560914.640942812,13,570,614,94,0,72000,414,280,0.000000000,0.396523000,0.533995000,0.124613000,0.000486000,0.125099000,1.723784000,0,18
1658137039.924752235,1785560914.740892887,14,614,652,109,0,72000,381,255,0.000000000,0.373151000,0.506775000,0.135950000,0.000677000,0.136627000,1.669545000,0,18
1658137040.024843931,1785560914.840890646,15,652,696,146,0,72000,439,263,0.000000000,0.437863000,0.586067000,0.204178000,0.000473000,0.204651000,1.657354000,0,19
1658137040.124804497,1785560914.941063404,16,696,731,147,0,72000,500,334,0.000000000,0.491358001,0.650078000,0.216412000,0.000477000,0.216889000,1.857153000,0,21
1658137040.224885464,1785560915.040672064,17,731,814,149,0,72000,357,225,0.000000000,0.373864000,0.499074000,0.161324000,0.000491000,0.161815000,1.402507000,0,20
1658137040.324917316,1785560915.141658068,18,814,931,245,0,72000,640,451,0.000000000,0.629713000,0.861651000,0.271583000,0.000622000,0.272205000,2.428846000,0,14
1658137040.424757481,1785560915.241680622,19,931,1037,222,0,72000,705,511,0.000000000,0.687806000,0.897946000,0.243481000,0.000495000,0.243976000,2.425480000,0,17
1658137040.524852276,1785560915.341259003,20,1037,1107,173,0,72000,584,378,0.000000000,0.575990000,0.741861000,0.206183000,0.000584000,0.206767000,1.961649000,0,16
1658137040.624824524,1785560915.441806793,21,1107,1178,207,0,72000,734,474,0.000000000,0.750424000,0.944408000,0.251589000,0.000521000,0.252110000,2.501062000,0,22
1658137040.724930048,1785560915.540866375,22,1178,1196,112,0,72000,434,293,0.000000000,0.452295000,0.596289000,0.202857000,0.000487000,0.203344000,1.580791000,0,13
1658137040.824769497,1785560915.640928030,23,1196,1235,155,0,72000,533,322,0.000000000,0.560507000,0.707372000,0.235363000,0.000543000,0.235906000,1.659766000,0,17
1658137040.924866199,1785560915.740948439,24,1235,1329,168,0,72000,523,332,0.000000000,0.530466000,0.687944000,0.203344000,0.000479000,0.203823000,1.631232000,0,18
1658137041.024715185,1785560915.841756105,25,1329,1455,254,0,72000,777,528,0.000000000,0.782686000,0.998317000,0.320218000,0.000518000,0.320736000,2.449893000,0,18
1658137041.124927521,1785560915.940407991,26,1455,1504,119,0,72000,326,183,0.000000000,0.374336000,0.490202000,0.162423000,0.000602000,0.163025000,1.151909000,0,18
1658137041.224772692,1785560916.041438818,27,1504,1511,195,0,72000,690,419,0.000000000,0.739010000,0.912290000,0.425787000,0.000486000,0.426273000,2.150127000,0,19
1658137041.324922085,1785560916.141301155,28,1511,1706,260,0,72000,718,420,0.000000000,0.706788000,0.887009000,0.259884000,0.000489000,0.260373000,2.035433000,0,17
1658137041.424759150,1785560916.242173910,29,1706,1852,315,0,72000,972,656,0.000000000,1.017191000,1.284245000,0.420277000,0.000653000,0.420930000,2.864751000,0,18
1658137041.524841309,1785560916.342209578,30,1852,1974,288,0,72000,1079,670,0.000000000,1.080512000,1.323704000,0.430506000,0.000688000,0.431194000,2.898732000,0,16
1658137041.624929428,1785560916.441872120,31,1974,2091,312,0,72000,969,662,0.000000000,0.991902000,1.233066000,0.507621000,0.000484000,0.508105000,2.588744000,0,21
1658137041.724767923,1785560916.540373564,32,2091,2133,75,0,72000,335,149,0.000000000,0.410099000,0.516844000,0.093767000,0.000554000,0.094321000,1.071704000,0,18
1658137041.824869633,1785560916.641371727,33,2133,2204,203,0,72000,730,448,0.000000000,0.753025000,0.954383000,0.282198000,0.000465000,0.282663000,2.035750000,0,10
1658137041.924714327,1785560916.742744207,34,2204,2398,370,0,72000,1337,892,0.000000000,1.336119000,1.636395000,0.501593000,0.000504000,0.502097000,3.428911000,0,13
