timestamp_sensor,timestamp_wall_utc,frame_index,kdtree_size_before,kdtree_size_after,points_added,points_deleted,scan_points_raw,scan_points_downsampled,effective_feature_points,nearest_search_ms,scan_match_ms,ekf_update_ms,map_insert_ms,map_delete_ms,map_update_ms,total_frame_ms,lidar_buffer_size,imu_buffer_size
1658137038.624750853,1785560989.863596201,1,65,107,89,0,72000,106,89,0.000000000,0.446915000,0.763370000,0.094708000,0.000793000,0.095501000,2.098042000,0,17
1658137038.724840641,1785560989.963964462,2,107,150,95,0,72000,148,130,0.000000000,0.204556000,0.307434000,0.101836000,0.000907000,0.102743000,2.499555000,0,23
1658137038.824929476,1785560990.064014435,3,150,187,66,0,72000,216,185,0.000000000,0.211732000,0.325013000,0.058474000,0.000553000,0.059027000,2.525451000,0,16
1658137038.924761057,1785560990.164497614,4,187,232,85,0,72000,228,177,0.000000000,0.258253000,0.386981000,0.082155000,0.000717000,0.082872000,2.803617000,0,12
1658137039.024845600,1785560990.262920856,5,232,245,28,0,72000,167,133,0.000000000,0.187493000,0.289932000,0.034215000,0.000605000,0.034820000,1.434544000,0,12
1658137039.124808073,1785560990.364321232,6,245,285,121,0,72000,292,215,0.000000000,0.281739000,0.406157000,0.122020000,0.000778000,0.122798000,2.773975000,0,17
1658137039.224895239,1785560990.464207172,7,285,331,105,0,72000,332,256,0.000000000,0.329137000,0.469130000,0.129347000,0.000596000,0.129943000,2.688929000,0,10
1658137039.324856758,1785560990.562341452,8,331,341,24,0,72000,79,79,0.000000000,0.147782000,0.218002000,0.037489000,0.000561000,0.038050000,0.835301000,0,17
1658137039.424824715,1785560990.663617849,9,341,363,89,0,72000,274,197,0.000000000,0.524680000,0.652539000,0.155822000,0.000607000,0.156429000,2.099741000,0,13
1658137039.524910688,1785560990.762801170,10,363,394,67,0,72000,233,187,0.000000000,0.246016000,0.367482000,0.084197000,0.000640000,0.084837000,1.269546000,0,11
1658137039.624746561,1785560990.864379406,11,394,499,171,0,72000,441,316,0.000000000,0.474866000,0.624800000,0.170021000,0.000901000,0.170922000,2.839780000,0,20
1658137039.724836588,1785560990.965232134,12,499,545,194,0,72000,522,358,0.000000000,0.486908000,0.645967000,0.241885000,0.000795000,0.242680000,2.994897000,0,27
1658137039.824910402,1785560991.063486814,13,545,597,102,0,72000,412,271,0.000000000,0.384918000,0.528475000,0.120092000,0.000616000,0.120708000,1.827532000,0,17
1658137039.924752235,1785560991.163593769,14,597,606,121,0,72000,376,219,0.000000000,0.542902000,0.722482000,0.237044000,0.000673000,0.237717000,1.998111000,0,11
1658137040.024843931,1785560991.263333797,15,606,701,157,0,72000,440,275,0.000000000,0.501193000,0.645804000,0.153153000,0.000676000,0.153829000,1.769567000,0,17
1658137040.124804497,1785560991.363841772,16,701,738,144,0,72000,496,314,0.000000000,0.709370000,0.871435000,0.234727000,0.000566000,0.235293000,2.260146000,0,20
1658137040.224885464,1785560991.463109016,17,738,839,159,0,72000,358,231,0.000000000,0.454900000,0.587198000,0.172384000,0.000596000,0.172980000,1.531793000,0,19
1658137040.324917316,1785560991.564353228,18,839,964,223,0,72000,641,429,0.000000000,0.869340000,1.090437000,0.230234000,0.000585000,0.230819000,2.778674000,0,18
1658137040.424757481,1785560991.664317608,19,964,968,233,0,72000,713,505,0.000000000,0.756454000,0.974310000,0.365710000,0.000568000,0.366278000,2.725683000,0,17
1658137040.524852276,1785560991.763832092,20,968,1064,172,0,72000,587,347,0.000000000,0.896070000,1.057062000,0.164141000,0.000615000,0.164756000,2.230485000,0,20
1658137040.624824524,1785560991.864416838,21,1064,1137,220,0,72000,728,460,0.000000000,0.884833000,1.089950000,0.281030000,0.000870000,0.281900000,2.798180000,0,19
1658137040.724930048,1785560991.963167191,22,1137,1199,124,0,72000,439,261,0.000000000,0.456829000,0.592130000,0.163766000,0.000572000,0.164338000,1.523821000,0,14
1658137040.824769497,1785560992.063463926,23,1199,1228,152,0,72000,527,294,0.000000000,0.663070000,0.817291000,0.272709000,0.000676000,0.273385000,1.853004000,0,17
1658137040.924866199,1785560992.163242817,24,1228,1319,146,0,72000,522,307,0.000000000,0.537819000,0.690203000,0.172643000,0.000739000,0.173382000,1.635968000,0,18
1658137041.024715185,1785560992.264571667,25,1319,1444,219,0,72000,777,507,0.000000000,1.193186000,1.453356000,0.297576000,0.000806000,0.298382000,2.943576000,0,18
1658137041.124927521,1785560992.362923145,26,1444,1459,106,0,72000,326,164,0.000000000,0.361653000,0.475978000,0.189293000,0.000651000,0.189944000,1.327927000,0,8
1658137041.224772692,1785560992.463701248,27,1459,1550,212,0,72000,683,397,0.000000000,0.739167000,0.922840000,0.322250000,0.000566000,0.322816000,2.044473000,0,19
1658137041.324922085,1785560992.563971758,28,1550,1633,221,0,72000,713,419,0.000000000,0.931915000,1.116237000,0.303350000,0.000664000,0.304014000,2.303014000,0,12
1658137041.424759150,1785560992.664623499,29,1633,1801,345,0,72000,963,621,0.000000000,0.981551000,1.234843000,0.459857000,0.000603000,0.460460000,2.955899000,0,11
1658137041.524841309,1785560992.765109539,30,1801,1933,337,0,72000,1083,688,0.000000000,1.306632000,1.596500000,0.519452000,0.000628000,0.520080000,3.436002000,0,18
1658137041.624929428,1785560992.864238501,31,1933,2133,348,0,72000,972,635,0.000000000,1.006437000,1.255632000,0.392618000,0.000678000,0.393296000,2.558836000,0,25
1658137041.724767923,1785560992.962922335,32,2133,2186,90,0,72000,330,130,0.000000000,0.476377000,0.579784000,0.107337000,0.000621000,0.107958000,1.152822000,0,18
1658137041.824869633,1785560993.063814163,33,2186,2256,230,0,72000,729,417,0.000000000,0.785059000,0.964703000,0.420157000,0.000637000,0.420794000,2.145780000,0,10
1658137041.924714327,1785560993.165344000,34,2256,2455,364,0,72000,1320,824,0.000000000,1.467787000,1.782382000,0.506769000,0.000664000,0.507433000,3.636362000,0,13
1658137042.024935007,1785560993.264606953,35,2455,2421,242,0,72000,976,581,0.000000000,1.039885000,1.267987000,0.644742000,0.000617000,0.645359000,2.789008000,0,10
1658137042.124760151,1785560993.363492012,36,2421,2528,177,0,72000,628,349,0.000000000,0.770979000,0.930960000,0.235818000,0.000729000,0.236547000,1.747155000,0,17
1658137042.224861860,1785560993.463821888,37,2528,2655,206,0,72000,802,539,0.000000000,0.818057000,1.034833000,0.301679000,0.000718000,0.302397000,2.114141000,0,17
1658137042.324903250,1785560993.566504002,38,2655,2899,468,0,72000,1703,1138,0.000000000,2.314027000,2.693004000,0.551598000,0.000698000,0.552296000,4.672108000,0,16
1658137042.424739361,1785560993.663401127,39,2899,2924,76,0,72000,371,196,0.000000000,0.470729000,0.730941000,0.121097000,0.000883000,0.121980000,1.431456000,0,19
1658137042.524814606,1785560993.764543295,40,2924,3083,257,0,72000,1139,734,0.000000000,1.227971000,1.514616000,0.338874000,0.000707000,0.339581000,2.819039000,0,18
1658137042.624909639,1785560993.865355492,41,3083,3115,296,0,72000,1378,958,0.000000000,1.588064000,1.932485000,0.670781000,0.000585000,0.671366000,3.603574000,0,12
1658137042.724750757,1785560993.965685129,42,3115,3316,417,0,72000,1598,1060,0.000000000,1.693970000,2.048320000,0.525903000,0.000753000,0.526656000,3.878712000,0,19
1658137042.824854851,1785560994.065629482,43,3316,3494,342,0,72000,1560,1078,0.000000000,1.752302000,2.123702000,0.433001000,0.000591000,0.433592000,3.827145000,0,10
1658137042.924814939,1785560994.164753199,44,3494,3576,239,0,72000,1221,791,0.000000000,1.240190000,1.525464000,0.406211000,0.000980000,0.407191000,2.876756000,0,17
1658137043.024902582,1785560994.266005039,45,3576,3779,392,0,72000,1644,1101,0.000000000,2.111699000,2.482912000,0.477928000,0.000540000,0.478468000,4.195118000,0,19
1658137043.124729633,1785560994.364808798,46,3779,3927,267,0,72000,1289,916,0.000000000,1.389341000,1.741810000,0.305250000,0.000645000,0.305895000,3.013465000,0,17
1658137043.224834442,1785560994.466930151,47,3927,4086,532,0,72000,2190,1489,0.000000000,2.266306000,2.762355000,0.861788000,0.000518000,0.862306000,5.095666000,0,19
1658137043.324897289,1785560994.564523458,48,4086,4167,225,0,72000,1317,885,0.000000000,1.798473000,2.367496000,0.737307000,0.000590000,0.737897000,4.156467000,0,18
1658137043.424738884,1785560994.663871288,49,4167,4274,359,0,72000,1628,1003,0.000000000,1.676188000,2.030729000,0.549385000,0.000749000,0.550134000,3.809012000,0,17
1658137043.524831533,1785560994.763931036,50,4274,4401,324,0,72000,1762,1152,0.000000000,1.692944000,2.107496000,0.550937000,0.000651000,0.551588000,3.768414000,0,17
1658137043.624813080,1785560994.863536835,51,4401,4293,271,0,72000,1398,861,0.000000000,1.542859000,1.853088000,0.692385000,0.000649000,0.693034000,3.463715000,0,20
1658137043.724911451,1785560994.965005875,52,4293,4542,427,0,72000,2282,1573,0.000000000,2.282336000,2.783183000,0.513426000,0.000588000,0.514014000,4.848623000,0,11
1658137043.824754000,1785560995.064491510,53,4542,4758,444,0,72000,2015,1345,0.000000000,2.033850000,2.470741000,0.639115000,0.000656000,0.639771000,4.356807000,0,18
1658137043.924834490,1785560995.164846182,54,4758,4891,321,0,72000,1856,1137,0.000000000,2.506423000,2.922185000,0.540757000,0.000615000,0.541372000,4.725696000,0,18
1658137044.024915218,1785560995.264871120,55,4891,5115,468,0,72000,2225,1411,0.000000000,2.285726000,2.733915000,0.610513000,0.000470000,0.610983000,4.699065000,0,15
1658137044.124754429,1785560995.363644838,56,5115,5209,238,0,72000,1653,1132,0.000000000,1.780914000,2.178483000,0.337304000,0.000553000,0.337857000,3.526264000,0,18
