timestamp,frame_index,input_points,observed_voxels,new_voxels,reobserved_voxels,total_tracked_voxels,elapsed_ms
1658137038.624750853,1,106,88,88,0,88,0.016705
1658137038.724840641,2,148,125,49,76,137,0.019256
1658137038.824929476,3,216,145,25,120,162,0.016863
1658137038.924761057,4,228,187,41,146,203,0.021762
1658137039.024845600,5,167,111,13,98,216,0.016128
1658137039.124808073,6,292,214,44,170,260,0.026152
1658137039.224895239,7,332,255,41,214,301,0.023879
1658137039.324856758,8,79,62,7,55,308,0.010637
1658137039.424824715,9,274,196,31,165,339,0.021964
1658137039.524910688,10,233,155,16,139,355,0.019305
1658137039.624746561,11,441,366,93,273,448,0.035599
1658137039.724836588,12,522,396,54,342,502,0.035917
1658137039.824910402,13,412,253,26,227,528,0.028848
1658137039.924752235,14,376,286,40,246,568,0.038042
1658137040.024843931,15,440,284,52,232,620,0.031649
1658137040.124804497,16,496,344,52,292,672,0.035551
1658137040.224885464,17,358,284,62,222,734,0.031816
1658137040.324917316,18,641,495,99,396,833,0.053171
1658137040.424757481,19,713,530,72,458,905,0.051639
1658137040.524852276,20,587,453,72,381,977,0.049576
1658137040.624824524,21,728,590,79,511,1056,0.056135
1658137040.724930048,22,439,350,48,302,1104,0.050031
1658137040.824769497,23,527,373,63,310,1167,0.058586
1658137040.924866199,24,522,394,66,328,1233,0.042207
1658137041.024715185,25,777,611,102,509,1335,0.058361
1658137041.124927521,26,326,219,43,176,1378,0.048210
1658137041.224772692,27,683,478,75,403,1453,0.056033
1658137041.324922085,28,713,545,93,452,1546,0.062348
1658137041.424759150,29,963,764,143,621,1689,0.073891
1658137041.524841309,30,1083,811,127,684,1816,0.082450
1658137041.624929428,31,972,736,142,594,1958,0.080380
1658137041.724767923,32,330,278,32,246,1990,0.042795
1658137041.824869633,33,729,580,91,489,2081,0.068145
1658137041.924714327,34,1320,1062,182,880,2263,0.110561
1658137042.024935007,35,976,746,93,653,2356,0.086538
1658137042.124760151,36,628,515,61,454,2417,0.110974
1658137042.224861860,37,802,653,85,568,2502,0.073400
1658137042.324903250,38,1703,1324,179,1145,2681,0.132971
1658137042.424739361,39,371,308,22,286,2703,0.198185
1658137042.524814606,40,1139,932,111,821,2814,0.103733
1658137042.624909639,41,1378,1096,114,982,2928,0.112076
1658137042.724750757,42,1598,1263,159,1104,3087,0.128040
1658137042.824854851,43,1560,1284,145,1139,3232,0.133906
1658137042.924814939,44,1221,992,81,911,3313,0.107387
1658137043.024902582,45,1644,1361,155,1206,3468,0.135956
1658137043.124729633,46,1289,1072,73,999,3541,0.120958
1658137043.224834442,47,2190,1726,202,1524,3743,0.170835
1658137043.324897289,48,1317,1078,84,994,3827,0.218107
1658137043.424738884,49,1628,1291,114,1177,3941,0.138779
1658137043.524831533,50,1762,1465,116,1349,4057,0.198363
1658137043.624813080,51,1398,1107,87,1020,4144,0.123995
1658137043.724911451,52,2282,1916,131,1785,4275,0.199742
1658137043.824754000,53,2015,1584,151,1433,4426,0.169366
1658137043.924834490,54,1856,1500,111,1389,4537,0.176093
1658137044.024915218,55,2225,1852,137,1715,4674,0.195491
1658137044.124754429,56,1653,1296,46,1250,4720,0.164189
1658137044.224855900,57,1620,1318,54,1264,4774,0.155788
1658137044.324722767,58,2102,1718,130,1588,4904,0.194961
